ID,Depth,Surface Area,number of images after masking
ODSS_18335_WSLAHD.1,220,223750,15
ODSS_18335_WSLAHD.1,219,210625,52
ODSS_18335_WSLAHD.1,218,202500,62
ODSS_18335_WSLAHD.1,217,182500,82
ODSS_18335_WSLAHD.1,216,165625,60
ODSS_18335_WSLAHD.1,215,140000,29
ODSS_18335_WSLAHD.1,214,113750,14
ODSS_18335_WSLAHD.1,213,0,2
ODSS_18335_WSLAHD.1,221,0,0
604.1,121,5264375,260
604.1,120,5269375,149
604.1,119,5248750,47
604.1,118,4900625,11
604.1,117,0,3
604.1,122,5249375,61
604.1,123,5625,5
604.1,116,0,0
604.1,124,0,0
136115A,312,1468125,59
136115A,313,1795625,13
136115A,314,2120000,35
136115A,311,1432500,56
136115A,310,1263125,8
136115A,309,1191250,6
136115A,308,829375,32
136115A,307,787500,101
136115A,306,766875,83
136115A,305,665625,20
136115A,319,3229375,37
136115A,320,3305625,36
136115A,321,3306250,11
136115A,318,3010625,28
136115A,317,2823750,23
136115A,316,2517500,19
136115A,315,2197500,40
136115A,322,4048125,14
136115A,324,4418125,18
136115A,327,4956250,36
136115A,329,5140000,199
136115A,331,5172500,32
136115A,330,5167500,164
136115A,333,0,0
136115A,332,0,0
136115A,328,5052500,87
136115A,326,4832500,26
136115A,325,4621250,17
136115A,323,4161875,25
BARKERSCREEK,364,380000,67
BARKERSCREEK,363,326875,90
BARKERSCREEK,365,429375,6
BARKERSCREEK,366,0,0
BARKERSCREEK,362,265000,78
BARKERSCREEK,361,205000,60
BARKERSCREEK,360,159375,23
BARKERSCREEK,359,118125,5
BARKERSCREEK,358,106875,12
BARKERSCREEK,357,63750,8
BARKERSCREEK,356,0,1
sp-o10350,185,15349375,49
sp-o10350,184,13169375,47
sp-o10350,183,12037500,42
sp-o10350,182,10810625,38
sp-o10350,186,17213750,47
sp-o10350,187,18705000,44
sp-o10350,188,20998125,47
sp-o10350,189,22438125,39
sp-o10350,190,25225000,51
sp-o10350,191,27406875,95
sp-o10350,192,28665000,104
sp-o10350,193,29138125,57
sp-o10350,181,9437500,29
sp-o10350,180,8256875,19
sp-o10350,179,7446875,12
sp-o10350,178,6011875,10
sp-o10350,177,4843125,18
sp-o10350,176,4465625,31
sp-o10350,175,3833750,38
sp-o10350,174,3220625,64
sp-o10350,173,2995625,68
sp-o10350,172,2719375,46
sp-o10350,171,2330000,47
sp-o10350,170,1827500,29
sp-o10350,169,1371250,10
sp-o10350,168,1151250,10
sp-o10350,167,993125,8
sp-o10350,166,861250,6
sp-o10350,165,652500,9
sp-o10350,194,29218750,9
sp-o10350,195,0,0
222537,1573,40625,147
222537,1574,48125,171
222537,1575,58750,156
222537,1571,26875,95
222537,1572,35625,119
222537,1570,20625,47
222537,1576,59375,132
222537,1577,68125,113
222537,1578,74375,131
222537,1579,90000,88
222537,1582,148750,32
222537,1580,75000,41
222537,1581,92500,23
222537,1569,7500,13
222537,1567,0,1
222537,1568,3125,1
222537,1583,0,0
229406A,181,4741250,87
229406A,182,4794375,237
229406A,180,4530000,83
229406A,179,4273125,35
229406A,178,3963125,34
229406A,177,3771875,75
RE690,576,53125,23
RE690,575,9375,2
RE690,577,111250,25
RE690,578,143125,24
RE690,579,196250,46
RE690,580,241250,57
RE690,581,305000,27
RE690,582,398750,28
RE690,583,465625,34
RE690,584,487500,2
sp-o10298,455,41425000,20
sp-o10298,454,41242500,21
sp-o10298,453,40872500,20
sp-o10298,452,40305625,24
sp-o10298,456,42086875,16
sp-o10298,457,42303750,15
sp-o10298,458,42546875,12
sp-o10298,459,42745000,14
sp-o10298,460,43378125,28
sp-o10298,461,43596875,46
sp-o10298,462,43770625,31
sp-o10298,463,44101250,7
sp-o10298,464,44330000,8
sp-o10298,465,44372500,11
sp-o10298,466,44068125,15
sp-o10298,467,44559375,17
sp-o10298,468,44634375,17
sp-o10298,469,44648750,20
sp-o10298,470,44713125,31
sp-o10298,471,44730625,51
sp-o10298,472,44727500,37
sp-o10298,473,44753750,14
sp-o10298,474,44756875,18
sp-o10298,475,44761250,22
sp-o10298,476,44771250,23
sp-o10298,477,44771250,20
sp-o10298,478,44776875,48
sp-o10298,479,44777500,45
sp-o10298,451,40122500,21
sp-o10298,450,39208125,15
sp-o10298,449,38901875,21
sp-o10298,448,38239375,30
sp-o10298,447,37802500,45
sp-o10298,446,37621250,39
sp-o10298,445,36682500,22
sp-o10298,444,36455625,39
sp-o10298,443,36338750,31
sp-o10298,442,36067500,4
sp-o10298,441,35132500,2
sp-o10298,440,34645625,3
sp-o10298,439,33844375,4
sp-o10298,438,32469375,3
sp-o10298,437,28029375,2
sp-o10298,436,31220625,4
sp-o10298,435,31242500,4
sp-o10298,434,1169375,3
sp-o10298,433,15821250,4
sp-o10298,432,15816250,3
sp-o10298,431,27698750,8
sp-o10298,430,29415000,18
sp-o10298,429,28832500,21
sp-o10298,428,28504375,14
sp-o10298,427,28213750,6
sp-o10298,426,9751875,4
sp-o10298,425,9748750,3
sp-o10298,424,11203750,2
sp-o10298,423,25113750,3
sp-o10298,422,24608750,3
sp-o10298,421,12368125,2
sp-o10298,420,22032500,3
sp-o10298,419,23680000,13
sp-o10298,418,23435625,23
sp-o10298,417,23330000,17
sp-o10298,416,22651250,12
sp-o10298,415,22481250,8
sp-o10298,414,12204375,3
sp-o10298,413,10001250,3
sp-o10298,412,16753125,3
sp-o10298,411,18312500,11
sp-o10298,410,18545000,21
sp-o10298,409,18373125,13
sp-o10298,408,17610000,4
sp-o10298,407,16987500,4
sp-o10298,406,16651250,4
sp-o10298,405,16651250,4
sp-o10298,404,0,2
sp-o10298,403,0,3
sp-o10298,402,11865625,5
sp-o10298,401,11865625,6
sp-o10298,400,5627500,8
sp-o10298,399,11268125,6
sp-o10298,480,44778750,19
sp-o10298,481,44779375,30
sp-o10298,482,44780000,26
sp-o10298,483,44780000,17
sp-o10298,484,44780000,23
sp-o10298,485,44780000,14
sp-o10298,305,0,0
sp-o10298,172,0,0
sp-o10298,203,0,0
410545,817,36250,52
410545,818,46875,89
410545,819,50000,124
410545,820,51250,180
410545,821,51875,276
410545,822,51875,266
410545,823,56875,39
410545,816,38125,30
410545,814,27500,3
410545,815,41875,10
410545,813,0,0
sp-o11534,118,49668750,91
sp-o11534,117,46370625,105
sp-o11534,116,43118750,200
sp-o11534,115,40292500,196
sp-o11534,119,52829375,58
sp-o11534,120,55680000,119
sp-o11534,121,56126250,34
sp-o11534,114,36907500,23
sp-o11534,113,34684375,15
sp-o11534,112,31468750,17
656.1,226,5997500,143
656.1,225,5802500,121
656.1,224,5824375,111
656.1,223,5730625,97
656.1,222,5702500,88
656.1,221,5644375,42
656.1,220,5616250,19
656.1,219,432500,6
656.1,227,5843750,111
656.1,228,5954375,138
656.1,229,6144375,74
656.1,230,0,0
171.1,668,630625,500
171.1,667,565625,82
171.1,669,746250,212
171.1,670,830625,109
171.1,671,783125,32
171.1,672,0,0
410717,778,551875,161
410717,777,551250,116
410717,776,538750,160
410717,775,525000,225
410717,774,516875,272
410717,773,503125,202
410717,772,490000,106
410717,771,460625,32
410717,770,433750,25
410717,769,437500,11
410717,779,0,0
410717,768,371875,6
410717,767,85625,2
627.1,51,1210000,135
627.1,52,1226250,233
627.1,53,1237500,69
627.1,50,1149375,38
627.1,54,1238750,40
627.1,49,646250,17
627.1,55,13750,4
627.1,56,0,0
UPPERCOLIBAN,500,2569375,22
UPPERCOLIBAN,499,2298125,10
UPPERCOLIBAN,498,2163125,21
UPPERCOLIBAN,497,2013125,25
UPPERCOLIBAN,496,1883125,16
UPPERCOLIBAN,495,1693750,10
UPPERCOLIBAN,494,1478125,14
UPPERCOLIBAN,493,1365000,12
UPPERCOLIBAN,492,1219375,13
UPPERCOLIBAN,501,2751875,39
UPPERCOLIBAN,502,3006250,27
UPPERCOLIBAN,503,3218125,33
UPPERCOLIBAN,504,3276250,49
UPPERCOLIBAN,505,3295625,138
UPPERCOLIBAN,491,933125,4
UPPERCOLIBAN,490,855000,5
UPPERCOLIBAN,489,748750,10
UPPERCOLIBAN,488,583125,13
UPPERCOLIBAN,487,541250,25
UPPERCOLIBAN,486,378125,8
UPPERCOLIBAN,485,165000,6
UPPERCOLIBAN,484,50625,22
UPPERCOLIBAN,483,16250,19
UPPERCOLIBAN,482,31875,5
UPPERCOLIBAN,481,0,1
233272A,511,159375,22
233272A,510,135000,36
233272A,512,180000,30
233272A,513,191875,28
233272A,514,200625,30
233272A,509,117500,55
233272A,508,101250,23
233272A,507,93125,21
233272A,506,74375,28
233272A,505,49375,2
233272A,504,51250,11
233272A,503,41250,13
233272A,502,36875,18
233272A,501,25000,27
233272A,500,20000,5
233272A,499,8750,5
233272A,498,8125,8
233272A,497,2500,12
233272A,496,0,4
233272A,495,3750,9
sp-o11590,408,962500,168
sp-o11590,407,955625,77
sp-o11590,406,925625,14
sp-o11590,405,891250,22
sp-o11590,404,849375,23
sp-o11590,403,786875,24
sp-o11590,402,767500,14
sp-o11590,401,733750,8
sp-o11590,400,663125,12
sp-o11590,399,645000,6
sp-o11590,398,598125,11
sp-o11590,397,552500,12
sp-o11590,396,521875,11
sp-o11590,395,485000,4
sp-o11590,394,4375,3
sp-o11590,393,0,0
sp-o11590,392,0,0
sp-o11590,409,0,0
233232A,530,788750,28
233232A,529,744375,37
233232A,528,675625,12
233232A,527,638125,7
233232A,531,863750,27
233232A,532,925000,34
233232A,533,988125,78
233232A,534,1035625,65
233232A,526,555625,8
233232A,525,545625,3
233232A,524,488750,7
233232A,523,428750,19
233232A,522,341250,11
233232A,521,361250,6
233232A,520,0,1
233232A,519,205000,3
233232A,518,158750,1
233232A,517,141250,3
233232A,516,0,0
233232A,535,1072500,59
233232A,536,1078125,24
136023A,18,4813125,220
136023A,19,5026250,168
136023A,17,4194375,135
136023A,16,3993125,62
136023A,15,2961250,64
136023A,14,2570000,14
136023A,13,2080625,4
136023A,20,5321875,7
136023A,21,0,0
136023A,22,4089375,1
136023A,23,0,0
136023A,26,0,0
136023A,28,0,0
136023A,24,1613125,1
136023A,27,0,0
136023A,25,2110625,1
sp-o10930,264,5003750,108
sp-o10930,263,4800625,36
sp-o10930,262,4421875,33
sp-o10930,261,3953125,30
sp-o10930,260,3472500,48
sp-o10930,259,3223750,24
sp-o10930,258,2789375,23
sp-o10930,257,2489375,33
sp-o10930,256,2186875,28
sp-o10930,255,2017500,17
sp-o10930,265,0,0
sp-o10930,254,1547500,3
sp-o10930,253,1461875,4
sp-o10930,241,0,0
sp-o10930,250,0,0
sp-o10930,251,0,0
203042,129,947500,427
203042,128,899375,69
203042,127,857500,52
203042,126,756250,43
203042,130,0,0
203042,125,735625,10
203042,124,648750,6
203042,123,572500,12
203042,122,543750,9
203042,121,503750,6
203042,120,384375,7
203042,119,160000,3
203042,118,278750,3
203042,117,250625,3
203042,116,26875,1
203042,115,181875,1
203042,114,0,0
203042,131,0,0
130354A,154,958750,61
130354A,155,968125,122
130354A,156,976250,259
130354A,157,1030000,318
130354A,158,1073750,10
130354A,153,950625,51
130354A,152,899375,31
130354A,151,901250,41
130354A,150,829375,36
130354A,159,681875,9
130354A,160,1123125,4
130354A,161,770625,2
130354A,162,23750,1
135009A,61,13713750,40
135009A,62,16026875,34
135009A,60,11883125,80
135009A,59,11569375,72
135009A,58,9111875,24
135009A,57,7828125,12
135009A,56,7170000,6
135009A,55,5666250,6
135009A,54,861250,4
135009A,53,3385625,6
135009A,52,3563125,10
135009A,51,3135625,23
135009A,50,3068750,21
135009A,49,0,4
135009A,64,20102500,126
135009A,66,23303125,73
135009A,67,26348125,64
135009A,68,28026875,87
135009A,69,31330000,150
135009A,70,32273125,168
135009A,71,36843750,95
135009A,65,21014375,124
135009A,63,18255000,66
135009A,72,40833125,156
135009A,73,42894375,280
135009A,74,44352500,443
135009A,75,44571875,309
135009A,76,46138750,19
135009A,77,35603750,2
135009A,78,16086250,1
135009A,79,0,0
135009A,82,0,0
135009A,81,0,0
135009A,80,0,0
ODSS_21168_WSLAHD.1,132,4083125,44
ODSS_21168_WSLAHD.1,131,3758750,106
ODSS_21168_WSLAHD.1,130,3400625,131
ODSS_21168_WSLAHD.1,129,3055000,183
ODSS_21168_WSLAHD.1,128,2734375,127
ODSS_21168_WSLAHD.1,133,4290000,21
ODSS_21168_WSLAHD.1,127,2523750,67
ODSS_21168_WSLAHD.1,134,4061875,5
229130A,137,1599375,26
229130A,136,1568125,29
229130A,135,1516250,15
229130A,134,1447500,22
229130A,133,1390000,28
229130A,132,1311250,21
229130A,131,1236250,10
229130A,130,1194375,19
229130A,138,1646875,23
229130A,139,1660000,92
229130A,129,1118125,8
229130A,128,5000,3
229130A,127,0,0
229130A,126,0,0
136113A,207,1963125,27
136113A,208,2219375,19
136113A,206,1758750,25
136113A,205,1378125,13
136113A,204,1172500,7
136113A,203,1077500,6
136113A,202,663125,48
136113A,201,619375,87
136113A,200,530000,103
136113A,211,3269375,30
136113A,215,4591250,7
136113A,214,4502500,16
136113A,213,4078125,16
136113A,212,3517500,24
136113A,210,2883750,22
136113A,209,2682500,17
136113A,217,0,0
136113A,218,0,0
136113A,220,0,0
136113A,221,8351875,1
136113A,223,10063125,21
136113A,225,11910000,56
136113A,228,13265625,92
136113A,231,0,0
136113A,230,0,0
136113A,229,0,0
136113A,227,13147500,174
136113A,226,12855000,114
136113A,224,11558750,28
136113A,222,10006250,18
ODSS_21167_WSLAHD.1,193,371250,96
ODSS_21167_WSLAHD.1,192,343750,82
ODSS_21167_WSLAHD.1,191,321250,65
ODSS_21167_WSLAHD.1,190,303125,60
ODSS_21167_WSLAHD.1,189,285625,44
ODSS_21167_WSLAHD.1,188,263125,36
ODSS_21167_WSLAHD.1,194,396250,51
ODSS_21167_WSLAHD.1,195,428750,23
ODSS_21167_WSLAHD.1,196,458750,27
ODSS_21167_WSLAHD.1,187,241250,25
ODSS_21167_WSLAHD.1,186,231875,13
ODSS_21167_WSLAHD.1,185,215000,6
ODSS_21167_WSLAHD.1,184,185000,2
ODSS_21167_WSLAHD.1,183,188125,5
ODSS_21167_WSLAHD.1,197,490000,24
ODSS_21167_WSLAHD.1,198,509375,25
ODSS_21167_WSLAHD.1,199,511250,4
228264A,68,1806875,159
228264A,67,1603125,314
228264A,69,2007500,6
228264A,66,1423750,103
130338A,164,201875,70
130338A,165,404375,127
130338A,166,723125,43
130338A,167,876250,54
130338A,168,999375,90
130338A,169,1120625,144
130338A,171,1149375,47
130338A,170,1140000,666
130338A,172,1134375,4
130338A,174,948125,2
130338A,175,0,0
130338A,176,0,0
130338A,173,1051250,2
130338A,177,0,0
130338A,179,11250,1
130338A,180,0,0
130338A,163,181875,35
130104A,120,690625,47
130104A,121,959375,90
130104A,123,1201250,269
130104A,124,1216875,167
130104A,122,1167500,622
130104A,119,690625,18
130104A,118,508750,3
130104A,126,611250,1
130104A,128,0,0
130104A,129,660000,1
130104A,130,622500,1
130104A,127,0,0
130104A,125,0,0
130104A,131,0,0
130104A,132,0,0
143048A,95,119375,40
143048A,96,0,0
143048A,94,111250,16
143048A,93,112500,44
143048A,92,100000,229
143048A,91,80625,49
143048A,90,63750,8
143048A,89,53125,3
143048A,88,54375,5
143048A,87,46250,55
143048A,86,31875,13
143048A,85,0,0
286.1,518,8750,169
286.1,519,9375,214
286.1,520,18125,32
286.1,521,25625,15
286.1,522,25625,14
286.1,523,16875,4
130304B,79,535625,148
130304B,80,573125,296
130304B,81,602500,15
130304B,78,466250,62
130304B,77,431250,52
130304B,76,398750,23
130304B,83,621875,5
130304B,82,607500,12
130304B,75,249375,9
130304B,84,0,0
130304B,85,78750,1
130304B,86,0,0
130304B,87,0,0
410742,953,2382500,50
