#Station Long Name,West Barwon Reservoir,,,
#Station Number,RE750,,,
#Station Location Latitude,-38.53182732,,,
#Station Location Longitude,143.7209973,,,
#Parameter Type Name,Storage Level,,,
#Timeseries Name,PR02AHDQaQc.Merged.DailyMean.24HR,,,
#Unit Name,meter,,,
#DATA_OWNER_NAME,VIC - Barwon Region Water Corporation (Barwon Water),,,
#Rows,7625,,,
#Timestamp,Value,Quality Code,Interpolation Type,
2000-01-01T00:00:00.000+10:00,176.06,90,603,4.68
2000-01-02T00:00:00.000+10:00,176.07,90,603,4.69
2000-01-03T00:00:00.000+10:00,176.07,90,603,4.69
2000-01-04T00:00:00.000+10:00,176.08,90,603,4.7
2000-01-05T00:00:00.000+10:00,176.09,90,603,4.71
2000-01-06T00:00:00.000+10:00,176.09,90,603,4.71
2000-01-07T00:00:00.000+10:00,176.1,90,603,4.72
2000-01-08T00:00:00.000+10:00,176.11,90,603,4.73
2000-01-09T00:00:00.000+10:00,176.11,90,603,4.73
2000-01-10T00:00:00.000+10:00,176.12,90,603,4.74
2000-01-11T00:00:00.000+10:00,176.13,90,603,4.75
2000-01-12T00:00:00.000+10:00,176.13,90,603,4.75
2000-01-13T00:00:00.000+10:00,176.14,90,603,4.76
2000-01-14T00:00:00.000+10:00,176.15,90,603,4.77
2000-01-15T00:00:00.000+10:00,176.15,90,603,4.77
2000-01-16T00:00:00.000+10:00,176.16,90,603,4.78
2000-01-17T00:00:00.000+10:00,176.17,90,603,4.79
2000-01-18T00:00:00.000+10:00,176.17,90,603,4.79
2000-01-19T00:00:00.000+10:00,176.18,90,603,4.8
2000-01-20T00:00:00.000+10:00,176.19,90,603,4.81
2000-01-21T00:00:00.000+10:00,176.19,90,603,4.81
2000-01-22T00:00:00.000+10:00,176.2,90,603,4.82
2000-01-23T00:00:00.000+10:00,176.21,90,603,4.83
2000-01-24T00:00:00.000+10:00,176.21,90,603,4.83
2000-01-25T00:00:00.000+10:00,176.22,90,603,4.84
2000-01-26T00:00:00.000+10:00,176.23,90,603,4.85
2000-01-27T00:00:00.000+10:00,176.23,90,603,4.85
2000-01-28T00:00:00.000+10:00,176.24,90,603,4.86
2000-01-29T00:00:00.000+10:00,176.25,90,603,4.87
2000-01-30T00:00:00.000+10:00,176.25,90,603,4.87
2000-01-31T00:00:00.000+10:00,176.23,90,603,4.85
2000-02-01T00:00:00.000+10:00,176.2,90,603,4.82
2000-02-02T00:00:00.000+10:00,176.17,90,603,4.79
2000-02-03T00:00:00.000+10:00,176.14,90,603,4.76
2000-02-04T00:00:00.000+10:00,176.11,90,603,4.73
2000-02-05T00:00:00.000+10:00,176.08,90,603,4.7
2000-02-06T00:00:00.000+10:00,176.05,90,603,4.67
2000-02-07T00:00:00.000+10:00,176.02,90,603,4.64
2000-02-08T00:00:00.000+10:00,175.99,90,603,4.61
2000-02-09T00:00:00.000+10:00,175.96,90,603,4.58
2000-02-10T00:00:00.000+10:00,175.93,90,603,4.55
2000-02-11T00:00:00.000+10:00,175.9,90,603,4.52
2000-02-12T00:00:00.000+10:00,175.87,90,603,4.49
2000-02-13T00:00:00.000+10:00,175.84,90,603,4.46
2000-02-14T00:00:00.000+10:00,175.81,90,603,4.43
2000-02-15T00:00:00.000+10:00,175.78,90,603,4.4
2000-02-16T00:00:00.000+10:00,175.75,90,603,4.37
2000-02-17T00:00:00.000+10:00,175.72,90,603,4.34
2000-02-18T00:00:00.000+10:00,175.69,90,603,4.31
2000-02-19T00:00:00.000+10:00,175.66,90,603,4.28
2000-02-20T00:00:00.000+10:00,175.63,90,603,4.25
2000-02-21T00:00:00.000+10:00,175.6,90,603,4.22
2000-02-22T00:00:00.000+10:00,175.57,90,603,4.19
2000-02-23T00:00:00.000+10:00,175.54,90,603,4.16
2000-02-24T00:00:00.000+10:00,175.51,90,603,4.13
2000-02-25T00:00:00.000+10:00,175.48,90,603,4.1
2000-02-26T00:00:00.000+10:00,175.45,90,603,4.07
2000-02-27T00:00:00.000+10:00,175.42,90,603,4.04
2000-02-28T00:00:00.000+10:00,175.4,90,603,4.02
2000-02-29T00:00:00.000+10:00,175.4,90,603,4.02
2000-03-01T00:00:00.000+10:00,175.39,90,603,4.01
2000-03-02T00:00:00.000+10:00,175.39,90,603,4.01
2000-03-03T00:00:00.000+10:00,175.39,90,603,4.01
2000-03-04T00:00:00.000+10:00,175.38,90,603,4
2000-03-05T00:00:00.000+10:00,175.38,90,603,4
2000-03-06T00:00:00.000+10:00,175.37,90,603,3.99
2000-03-07T00:00:00.000+10:00,175.37,90,603,3.99
2000-03-08T00:00:00.000+10:00,175.37,90,603,3.99
2000-03-09T00:00:00.000+10:00,175.36,90,603,3.98
2000-03-10T00:00:00.000+10:00,175.36,90,603,3.98
2000-03-11T00:00:00.000+10:00,175.35,90,603,3.97
2000-03-12T00:00:00.000+10:00,175.35,90,603,3.97
2000-03-13T00:00:00.000+10:00,175.35,90,603,3.97
2000-03-14T00:00:00.000+10:00,175.34,90,603,3.96
2000-03-15T00:00:00.000+10:00,175.34,90,603,3.96
2000-03-16T00:00:00.000+10:00,175.33,90,603,3.95
2000-03-17T00:00:00.000+10:00,175.33,90,603,3.95
2000-03-18T00:00:00.000+10:00,175.33,90,603,3.95
2000-03-19T00:00:00.000+10:00,175.32,90,603,3.94
2000-03-20T00:00:00.000+10:00,175.32,90,603,3.94
2000-03-21T00:00:00.000+10:00,175.31,90,603,3.93
2000-03-22T00:00:00.000+10:00,175.31,90,603,3.93
2000-03-23T00:00:00.000+10:00,175.31,90,603,3.93
2000-03-24T00:00:00.000+10:00,175.3,90,603,3.92
2000-03-25T00:00:00.000+10:00,175.3,90,603,3.92
2000-03-26T00:00:00.000+10:00,175.29,90,603,3.91
2000-03-27T00:00:00.000+10:00,175.29,90,603,3.91
2000-03-28T00:00:00.000+10:00,175.29,90,603,3.91
2000-03-29T00:00:00.000+10:00,175.28,90,603,3.9
2000-03-30T00:00:00.000+10:00,175.28,90,603,3.9
2000-03-31T00:00:00.000+10:00,175.28,90,603,3.9
2000-04-01T00:00:00.000+10:00,175.29,90,603,3.91
2000-04-02T00:00:00.000+10:00,175.3,90,603,3.92
2000-04-03T00:00:00.000+10:00,175.31,90,603,3.93
2000-04-04T00:00:00.000+10:00,175.32,90,603,3.94
2000-04-05T00:00:00.000+10:00,175.33,90,603,3.95
2000-04-06T00:00:00.000+10:00,175.34,90,603,3.96
2000-04-07T00:00:00.000+10:00,175.35,90,603,3.97
2000-04-08T00:00:00.000+10:00,175.36,90,603,3.98
2000-04-09T00:00:00.000+10:00,175.37,90,603,3.99
2000-04-10T00:00:00.000+10:00,175.38,90,603,4
2000-04-11T00:00:00.000+10:00,175.39,90,603,4.01
2000-04-12T00:00:00.000+10:00,175.4,90,603,4.02
2000-04-13T00:00:00.000+10:00,175.41,90,603,4.03
2000-04-14T00:00:00.000+10:00,175.42,90,603,4.04
2000-04-15T00:00:00.000+10:00,175.42,90,603,4.04
2000-04-16T00:00:00.000+10:00,175.43,90,603,4.05
2000-04-17T00:00:00.000+10:00,175.44,90,603,4.06
2000-04-18T00:00:00.000+10:00,175.45,90,603,4.07
2000-04-19T00:00:00.000+10:00,175.46,90,603,4.08
2000-04-20T00:00:00.000+10:00,175.47,90,603,4.09
2000-04-21T00:00:00.000+10:00,175.48,90,603,4.1
2000-04-22T00:00:00.000+10:00,175.49,90,603,4.11
2000-04-23T00:00:00.000+10:00,175.5,90,603,4.12
2000-04-24T00:00:00.000+10:00,175.51,90,603,4.13
2000-04-25T00:00:00.000+10:00,175.52,90,603,4.14
2000-04-26T00:00:00.000+10:00,175.53,90,603,4.15
2000-04-27T00:00:00.000+10:00,175.54,90,603,4.16
2000-04-28T00:00:00.000+10:00,175.55,90,603,4.17
