NAME,Depth,Surface Area,Number of images after masking
LAKE ARGYLE,81,459788750,15
LAKE ARGYLE,82,491993125,17
LAKE ARGYLE,83,542309375,30
LAKE ARGYLE,84,592714375,35
LAKE ARGYLE,85,628145625,27
LAKE ARGYLE,86,683183750,23
LAKE ARGYLE,87,732196250,44
LAKE ARGYLE,88,776033750,62
LAKE ARGYLE,89,836780625,88
LAKE ARGYLE,90,886358750,110
LAKE ARGYLE,91,936456250,97
LAKE ARGYLE,92,979125625,83
LAKE ARGYLE,93,996100625,30
LAKE ARGYLE,94,997555000,13
LAKE ARGYLE,95,999932500,8
LAKE ARGYLE,96,1001095625,12
