staion_nam,gauge_ID,lat_gauge,lon_gauge
284,D24,-32.74362461,151.9612514
40A,D21,-32.79766496,151.743779
AMPHITHEATRE RES. HG,408216A,-37.17323546,143.3774979
"Abbotsfield Res, SCADA Probes",GLR1.GLR1TK01,-42.79,147.22
Addlington Ck at Ewen Maddock Dam HW,141012A,-26.779,153.009
Albert R at Nindooinbah Dam HW,145108A,-27.996,153.031
Allen Reservoir,RE931,-38.53766741,143.9448758
Analysers,GOS.GOSTE11,-42.86691421,147.244582
Apollobay basin,SB898,-38.76519,143.65217
Armadeus,6100236,-33.83152086,115.0750066
Aroona Creek/Dam,A5100500,-30.5849,138.3585
BALRANALD LAGOON,41010307,-34.6586,143.4959
BARRINGTON LAKE - AT DAM,604.1,-41.35722222,146.2644722
BEACONSFIELD MR WH90,228268A,-38.02938666,145.4085073
BEREMBED STORAGE,41010904,-34.8775,146.8376
BERRY JERRY LAGOON,41010293,-35.0164,147.0654
BITTERN RES WH100,228265A,-38.3048,145.117
BOGGABILLA W.STORAGE,416065,-28.5895,150.3622
BOOLOOROO W. STORAGE,418051,-29.4145,149.8859
BREWSTER STORAGE,412108,-33.4231,145.9419
BROGO DAM,219027,-36.4911,149.742
BULLARTO RES. H.G.,407327A,-37.378142,144.239983
BUNDIDGERRY STORAGE,410190,-34.767,146.634
BURRINJUCK DAM,410131,-35,148.5989
Barossa Diversion Weir (SA Water),SAWBAWR.1,-34.68712108,138.8533304
Barrage,128,-23.36073701,150.4988748
Bedford Weir HW,130104A,-23.3739,148.84075
Belconnen Pond 3,410652,-35.18852778,149.0143611
Bellarine Basin,SB511,-38.2199,144.5499
Ben Anderson Barrage,136020A,-24.93,152.25525
Ben Dor Weir,416406A,-28.560929,150.867563
Bill Gunn Dam L Dyer,143228A,-27.63166667,152.3794444
Bingegang Weir H/W,130106A,-23.07616667,149.0330833
Bob Pazotas Dam,607040,-34.28433895,116.1546305
Bostock Enviromental,RE670,-37.608,144.1848
Bowen R Weir HW,120299A,-20.74125,147.949
Bridgedams,6091772,-34.00770901,115.1873361
Brilka Creek,A4260602,-34.05394306,141.2571463
Brooklands,6100237,-33.79391076,115.0248722
Buangor Storage,BUANGOR_STORAGE,-37.321271,143.204945
Bucca Weir,135008A,-24.8594,152.0716
Burnett_R Bingera,136005A,-24.93789164,152.191847
CARCOAR DAM,412106,-33.6179,149.1776
CARDINIA RES HG,228263A,-37.9711,145.388
CASCADE CREEK @ No 1,212281,-33.68888912,150.3036115
CASCADE CREEK @ No 3,212283,-33.69138931,150.3002784
CATAGUNYA LAKE - AT DAM,592.1,-42.44777778,146.5938889
CENTENARY RES HG,407335A,-37.074531,143.734516
CETHANA LAKE - AT DAM,625.1,-41.48225,146.1346944
CHAFFEY DAM,419069,-31.348147,151.13947
COCHRANE DAM STORAGE,219033,-36.5703,149.4554
COLDENE LAGOON,41010290,-35.0718,147.7613
COPETON DAM,418035,-29.9049,150.9234
CRESWICK C COSGROVE,407324A,-37.44476765,143.9362454
Cairn Curran Reservoir,sp-o10138,-36.98903,143.96842
Cania Dam,136115A,-24.64975,150.98333
Chinchilla HW Intake,422358A,-26.789053,150.626286
Chinchilla Weir,422358B,-26.799304,150.578926
Clare Weir,120012A,-19.86014,147.2332
Clarendon Weir (SA Water),SAWCLRNDWR.1,-35.11144204,138.6350027
Claude Wharton HW,136003C,-25.61474,151.595
Colac Basin No.4,SB855,-38.3928,143.5935
Colac No.5,SB855B,-38.394978,143.594356
Condamine_R Cecil Wr,422316A,-27.5336733,151.2032948
Condamine_R Loudouns,422333A,-27.22510556,151.1857306
Cooby Dam,69,-27.36415365,151.9682063
DADENONG MR WR4,228269A,-37.947418,145.201713
DAM-MANGRV.Dam_WaterStorage_ML_BOM2012,DAM_MANGRV.1,-33.2177,151.1251
DAM-MARDI.Dam_WaterStorage_ML_BOM2012,DAM_MARDI.1,-33.29697623,151.396566
DEE LAGOON - AT TUNNEL INLET,179.1,-42.24777778,146.5658333
DUMARSQ CK @ DAM,206044,-30.43039688,151.5978328
Dawson at Theodore,130305A,-24.951,150.07385
Dawson_R Glebe Wr HW,130338A,-25.46367,150.03441
Di Fri Dam,607035,-34.29937282,116.0512708
EUROLEY LAGOON,41010297,-34.6401,146.3662
Elmhurst Storage,ELMHURST,-37.194854,143.251071
Eungella Dam,120211A,-21.13809,148.387649
Evolution Dam HW,136022A,-25.23593634,151.7986008
Ewlyamartup,6090057,-33.69808534,117.7372598
FELLMONGERS C AT RES,233272A,-37.54817112,143.9331475
GAIRDNER LAKE - AT DAM,613.1,-41.47230556,146.0731111
GANDANGARR@THIRLMERE,212068,-34.21793808,150.5434691
GANMAIN NO1 LAGOON,41010294,-35.0065,147.033
GANMAIN NO2 LAGOON,41010295,-35.0097,147.0341
GLENBAWN DAM,210097,-32.1026,150.9926
GLENLYON DAM,416315A,-90,141
GLENNIES CREEK DAM,210117,-32.36342393,151.2486243
GOORAGOOL LAGOON,41010300,-34.5833,146.0853
GORAN LK@HOKEY POKEY,419066,-31.3061,150.2
GORDON LAKE [AT INTAKE],646.1,-42.73972222,145.9816667
GREAVES CK @ MEDLOW,212284,-33.65861165,150.2991665
Gandy Dam 1,607036,-34.31945913,116.0812605
Gandy Dam 2,607037,-34.29630385,116.082871
Giru Weir HW,119007A,-19.510482,147.112145
Gorge Weir (SA Water),SAWTOGOWR.1,-34.85586423,138.7311211
Goulburn Weir,sp-o10438,-36.71753229,145.1711321
Gumeracha Weir (SA Water),SAWGUMWR.1,-34.82146043,138.8521103
Gungahlin Pond,410788,-35.19186111,149.1058333
Gyranda Weir HW,130354A,-25.2841,150.18245
HAY STORAGE,41010928,-34.5252,144.7116
HUME,sp-o10510,0,0
Hope Valley Reservoir (SA Water),SAWHOPVRS.1,-34.85185505,138.685684
IP109,D20,-32.78613889,151.8172333
IRIS PARK SWAMP,41010292,-35.087,147.2261
Isabella Pond,410653,-35.42263889,149.0763056
Isis OS,136026A,-25.02488333,152.2357056
JACKSON @ ROSSLYNNE,230216A,-37.4748,144.56893
JEMALONG STORAGE,412172,-33.3999,147.776
Jetty 4099,6090056,-33.58389436,116.7917254
Joe Sippel Weir HW,136215A,-26.268485,152.006693
John Goleby Weir,136120A,-25.254314,151.145612
Jones Weir HW,136004A,-25.59481676,151.2963609
Jounama Pondage RL,410573,-35.56149444,148.3066528
Julius Dam,913015B,-20.129421,139.71463
KING WILLIAM LAKE - AT DAM,128.1,-42.26672222,146.2614444
KIRKS RES,CHWKIRR,0,0
KORJAMNUNNIP C-PYKES,231222A,-37.7446,144.57
Kerferd Reservoir,RES_BEEWKFS,-36.36945,146.73854
Kidston HW,917116A,-19.03644444,144.1226583
Kirar Weir HW,136121A,-25.34556,151.079067
Kolan Barrage,135010B,-24.7849,152.18905
Korweinguboora Reser,RE690,-37.5103,144.1489
Kroombit Dam,130360A,-24.41608333,150.7721389
"Kununurra Diversion Dam Daily Water Level, North W",PI_358347.1,-15.7918695,128.695244
Kununurra Dv. Water Levels SCADA,ODSS_61661_WSLAHD.1,-15.7918695,128.695244
Kununurra Dv. Wsl,ODSS_18313_WSLAHD.1,-15.7918695,128.695244
L Ginninderra at Dam,410765,-35.22252778,149.0651389
L TANDURE@STORAGE,425047,0,0
LA TROBE R NARRACAN,226236A,-38.17110375,146.3401354
LACHLAN LAKE B WEIR,412048,-33.395,145.9863
LAKE CRESCENT AT TEA TREE POINT LAKE LEVEL,4205.1,-42.16092375,147.15573
LAKE SORELL AT CHILLON POINT LAKE LEVEL,4206.1,-42.14126818,147.1770298
LAL LAL C BEALES RES,232219A,-37.54143987,144.0265923
LAL LAL C WILSON RES,232220A,-37.51437,144.01766
LANDSBOROUGH RES HG,415275A,-37.02919537,143.1391578
LATROBE @ YALLOURN,226400B,-38.17128,146.35513
LAUGHING JACK LAGOON - AT DAM,211.1,-42.17583333,146.3306389
LEXTON RES. H.G.,407326A,-37.2794,143.54474
LITTLE PARA RIVER @ Little Para Reservoir,A5040528.1,-34.7536679,138.7190911
LITTLE PINE LAGOON - AT DAM,236.1,-42.01083333,146.59
LOSTOCK DAM,210102,-32.3292,151.4569
Laanecoorie Reservoir,sp-o10606,-36.83120534,143.8917144
Lake Albert,LKALBERT,-90,141
Lake Alexandrina,LKALEX,-90,141
Lake Awoonga,63,-24.06961795,151.310746
Lake Eucumbene RL,222538,-36.13036389,148.6139778
Lake Fyans,LAKE_FYANS,-37.15575,142.62148
Lake Jindabyne RL,222540,-36.34611111,148.6062472
Lake Tuggeranong Dam,410784,-35.40872222,149.0635556
Lake William Hovell,sp-o11590,-36.91340337,146.3863558
Lemon Tree Weir HW,422349A,-27.75328,151.312
Lenthalls Dam HW,137303A,-25.40012969,152.5297982
Little Nerang,146034A,-28.1526195,153.283608
Loombah Reservoir,RES_BENWLOR,-36.7208,146.219074
Lower Stranger Pond,410654,-35.42916667,149.0681944
Luzny Dam,607041,-34.29642936,116.0403728
MACALISTER @ GLENMAG,225225A,-37.90833333,146.8
