#Station Long Name,Callide Ck at Callide Dam HW (Intake)
#Station Number,130314B
#Station Location Latitude,-24.366451
#Station Location Longitude,150.617484
#Parameter Type Name,Storage Level
#Timeseries Name,PR02AHDQaQc.Merged.DailyMean.24HR
#Unit Name,meter
#DATA_OWNER_NAME,QLD - SunWater
#Rows,11534
#Timestamp,Value,Quality Code,Interpolation Type
1989-09-28T00:00:00.000+10:00,203.439,90,603
1989-09-29T00:00:00.000+10:00,203.432,90,603
1989-09-30T00:00:00.000+10:00,203.430,90,603
1989-10-01T00:00:00.000+10:00,203.421,90,603
1989-10-02T00:00:00.000+10:00,203.411,90,603
1989-10-03T00:00:00.000+10:00,203.402,90,603
1989-10-04T00:00:00.000+10:00,203.400,90,603
1989-10-05T00:00:00.000+10:00,203.391,90,603
1989-10-06T00:00:00.000+10:00,203.381,90,603
1989-10-07T00:00:00.000+10:00,203.371,90,603
1989-10-08T00:00:00.000+10:00,203.362,90,603
1989-10-09T00:00:00.000+10:00,203.360,90,603
1989-10-10T00:00:00.000+10:00,203.375,90,603
1989-10-11T00:00:00.000+10:00,203.372,90,603
1989-10-12T00:00:00.000+10:00,203.370,90,603
1989-10-13T00:00:00.000+10:00,203.362,90,603
1989-10-14T00:00:00.000+10:00,203.361,90,603
1989-10-15T00:00:00.000+10:00,203.361,90,603
1989-10-16T00:00:00.000+10:00,203.360,90,603
1989-10-17T00:00:00.000+10:00,203.352,90,603
1989-10-18T00:00:00.000+10:00,203.350,90,603
1989-10-19T00:00:00.000+10:00,203.342,90,603
1989-10-20T00:00:00.000+10:00,203.340,90,603
1989-10-21T00:00:00.000+10:00,203.332,90,603
1989-10-22T00:00:00.000+10:00,203.330,90,603
1989-10-23T00:00:00.000+10:00,203.324,90,603
1989-10-24T00:00:00.000+10:00,203.330,90,603
1989-10-25T00:00:00.000+10:00,203.331,90,603
1989-10-26T00:00:00.000+10:00,203.332,90,603
1989-10-27T00:00:00.000+10:00,203.340,90,603
1989-10-28T00:00:00.000+10:00,203.340,90,603
1989-10-29T00:00:00.000+10:00,203.332,90,603
1989-10-30T00:00:00.000+10:00,203.330,90,603
1989-10-31T00:00:00.000+10:00,203.321,90,603
1989-11-01T00:00:00.000+10:00,203.311,90,603
1989-11-02T00:00:00.000+10:00,203.304,90,603
1989-11-03T00:00:00.000+10:00,203.309,90,603
1989-11-04T00:00:00.000+10:00,203.302,90,603
1989-11-05T00:00:00.000+10:00,203.300,90,603
1989-11-06T00:00:00.000+10:00,203.290,90,603
1989-11-07T00:00:00.000+10:00,203.324,90,603
1989-11-08T00:00:00.000+10:00,203.331,90,603
1989-11-09T00:00:00.000+10:00,203.335,90,603
1989-11-10T00:00:00.000+10:00,203.342,90,603
1989-11-11T00:00:00.000+10:00,203.346,90,603
1989-11-12T00:00:00.000+10:00,203.350,90,603
1989-11-13T00:00:00.000+10:00,203.351,90,603
1989-11-14T00:00:00.000+10:00,203.351,90,603
1989-11-15T00:00:00.000+10:00,203.351,90,603
1989-11-16T00:00:00.000+10:00,203.351,90,603
1989-11-17T00:00:00.000+10:00,203.351,90,603
1989-11-18T00:00:00.000+10:00,203.350,90,603
1989-11-19T00:00:00.000+10:00,203.342,90,603
1989-11-20T00:00:00.000+10:00,203.341,90,603
1989-11-21T00:00:00.000+10:00,203.342,90,603
1989-11-22T00:00:00.000+10:00,203.350,90,603
1989-11-23T00:00:00.000+10:00,203.351,90,603
1989-11-24T00:00:00.000+10:00,203.348,90,603
1989-11-25T00:00:00.000+10:00,203.346,90,603
1989-11-26T00:00:00.000+10:00,203.341,90,603
1989-11-27T00:00:00.000+10:00,203.337,90,603
1989-11-28T00:00:00.000+10:00,203.332,90,603
1989-11-29T00:00:00.000+10:00,203.325,90,603
1989-11-30T00:00:00.000+10:00,203.316,90,603
1989-12-01T00:00:00.000+10:00,203.309,90,603
1989-12-02T00:00:00.000+10:00,203.304,90,603
1989-12-03T00:00:00.000+10:00,203.296,90,603
1989-12-04T00:00:00.000+10:00,203.289,90,603
1989-12-05T00:00:00.000+10:00,203.281,90,603
1989-12-06T00:00:00.000+10:00,203.274,90,603
1989-12-07T00:00:00.000+10:00,203.267,90,603
1989-12-08T00:00:00.000+10:00,203.259,90,603
1989-12-09T00:00:00.000+10:00,203.252,90,603
1989-12-10T00:00:00.000+10:00,203.243,90,603
1989-12-11T00:00:00.000+10:00,203.235,90,603
1989-12-12T00:00:00.000+10:00,203.229,90,603
1989-12-13T00:00:00.000+10:00,203.222,90,603
1989-12-14T00:00:00.000+10:00,203.214,90,603
1989-12-15T00:00:00.000+10:00,203.239,90,603
1989-12-16T00:00:00.000+10:00,203.236,90,603
1989-12-17T00:00:00.000+10:00,203.230,90,603
1989-12-18T00:00:00.000+10:00,203.224,90,603
1989-12-19T00:00:00.000+10:00,203.217,90,603
1989-12-20T00:00:00.000+10:00,203.211,90,603
1989-12-21T00:00:00.000+10:00,203.205,90,603
1989-12-22T00:00:00.000+10:00,203.199,90,603
1989-12-23T00:00:00.000+10:00,203.190,90,603
1989-12-24T00:00:00.000+10:00,203.178,90,603
1989-12-25T00:00:00.000+10:00,203.171,90,603
1989-12-26T00:00:00.000+10:00,203.161,90,603
1989-12-27T00:00:00.000+10:00,203.152,90,603
1989-12-28T00:00:00.000+10:00,203.141,90,603
1989-12-29T00:00:00.000+10:00,203.130,90,603
1989-12-30T00:00:00.000+10:00,203.117,90,603
1989-12-31T00:00:00.000+10:00,203.105,90,603
1990-01-01T00:00:00.000+10:00,203.092,90,603
1990-01-02T00:00:00.000+10:00,203.082,90,603
1990-01-03T00:00:00.000+10:00,203.072,90,603
1990-01-04T00:00:00.000+10:00,203.060,90,603
1990-01-05T00:00:00.000+10:00,203.047,90,603
1990-01-06T00:00:00.000+10:00,203.035,90,603
1990-01-07T00:00:00.000+10:00,203.023,90,603
1990-01-08T00:00:00.000+10:00,203.008,90,603
1990-01-09T00:00:00.000+10:00,202.993,90,603
1990-01-10T00:00:00.000+10:00,202.978,90,603
1990-01-11T00:00:00.000+10:00,202.964,90,603
1990-01-12T00:00:00.000+10:00,202.949,90,603
