#Station Long Name,Barron R at Tinaroo Falls Dam HW
#Station Number,110014A
#Station Location Latitude,-17.164314
#Station Location Longitude,145.546399
#Parameter Type Name,Storage Level
#Timeseries Name,PR02AHDQaQc.Merged.DailyMean.24HR
#Unit Name,meter
#DATA_OWNER_NAME,QLD - SunWater
#Rows,22609
#Timestamp,Value,Quality Code,Interpolation Type
1959-06-03T00:00:00.000+10:00,661.788,90,603
1959-06-04T00:00:00.000+10:00,661.811,90,603
1959-06-05T00:00:00.000+10:00,661.850,90,603
1959-06-06T00:00:00.000+10:00,661.890,90,603
1959-06-07T00:00:00.000+10:00,661.930,90,603
1959-06-08T00:00:00.000+10:00,661.969,90,603
1959-06-09T00:00:00.000+10:00,662.000,90,603
1959-06-10T00:00:00.000+10:00,662.030,90,603
1959-06-11T00:00:00.000+10:00,662.060,90,603
1959-06-12T00:00:00.000+10:00,662.091,90,603
1959-06-13T00:00:00.000+10:00,662.129,90,603
1959-06-14T00:00:00.000+10:00,662.160,90,603
1959-06-15T00:00:00.000+10:00,662.190,90,603
1959-06-16T00:00:00.000+10:00,662.220,90,603
1959-06-17T00:00:00.000+10:00,662.251,90,603
1959-06-18T00:00:00.000+10:00,662.289,90,603
1959-06-19T00:00:00.000+10:00,662.321,90,603
1959-06-20T00:00:00.000+10:00,662.360,90,603
1959-06-21T00:00:00.000+10:00,662.399,90,603
1959-06-22T00:00:00.000+10:00,662.430,90,603
1959-06-23T00:00:00.000+10:00,662.464,90,603
1959-06-24T00:00:00.000+10:00,662.519,90,603
1959-06-25T00:00:00.000+10:00,662.568,90,603
1959-06-26T00:00:00.000+10:00,662.601,90,603
1959-06-27T00:00:00.000+10:00,662.639,90,603
1959-06-28T00:00:00.000+10:00,662.670,90,603
1959-06-29T00:00:00.000+10:00,662.697,90,603
1959-06-30T00:00:00.000+10:00,662.721,90,603
1959-07-01T00:00:00.000+10:00,662.750,90,603
1959-07-02T00:00:00.000+10:00,662.780,90,603
1959-07-03T00:00:00.000+10:00,662.810,90,603
1959-07-04T00:00:00.000+10:00,662.840,90,603
1959-07-05T00:00:00.000+10:00,662.870,90,603
1959-07-06T00:00:00.000+10:00,662.900,90,603
1959-07-07T00:00:00.000+10:00,662.930,90,603
1959-07-08T00:00:00.000+10:00,662.960,90,603
1959-07-09T00:00:00.000+10:00,662.990,90,603
1959-07-10T00:00:00.000+10:00,663.020,90,603
1959-07-11T00:00:00.000+10:00,663.050,90,603
1959-07-12T00:00:00.000+10:00,663.080,90,603
1959-07-13T00:00:00.000+10:00,663.110,90,603
1959-07-14T00:00:00.000+10:00,663.140,90,603
1959-07-15T00:00:00.000+10:00,663.169,90,603
1959-07-16T00:00:00.000+10:00,663.190,90,603
1959-07-17T00:00:00.000+10:00,663.211,90,603
1959-07-18T00:00:00.000+10:00,663.240,90,603
1959-07-19T00:00:00.000+10:00,663.269,90,603
1959-07-20T00:00:00.000+10:00,663.291,90,603
1959-07-21T00:00:00.000+10:00,663.319,90,603
1959-07-22T00:00:00.000+10:00,663.340,90,603
1959-07-23T00:00:00.000+10:00,663.360,90,603
1959-07-24T00:00:00.000+10:00,663.380,90,603
1959-07-25T00:00:00.000+10:00,663.400,90,603
1959-07-26T00:00:00.000+10:00,663.419,90,603
1959-07-27T00:00:00.000+10:00,663.433,90,603
1959-07-28T00:00:00.000+10:00,663.458,90,603
1959-07-29T00:00:00.000+10:00,663.471,90,603
1959-07-30T00:00:00.000+10:00,663.489,90,603
1959-07-31T00:00:00.000+10:00,663.501,90,603
1959-08-01T00:00:00.000+10:00,663.520,90,603
1959-08-02T00:00:00.000+10:00,663.540,90,603
1959-08-03T00:00:00.000+10:00,663.559,90,603
1959-08-04T00:00:00.000+10:00,663.571,90,603
1959-08-05T00:00:00.000+10:00,663.589,90,603
1959-08-06T00:00:00.000+10:00,663.600,90,603
1959-08-07T00:00:00.000+10:00,663.610,90,603
1959-08-08T00:00:00.000+10:00,663.620,90,603
1959-08-09T00:00:00.000+10:00,663.631,90,603
1959-08-10T00:00:00.000+10:00,663.648,90,603
1959-08-11T00:00:00.000+10:00,663.651,90,603
1959-08-12T00:00:00.000+10:00,663.660,90,603
1959-08-13T00:00:00.000+10:00,663.670,90,603
1959-08-14T00:00:00.000+10:00,663.680,90,603
1959-08-15T00:00:00.000+10:00,663.691,90,603
1959-08-16T00:00:00.000+10:00,663.709,90,603
1959-08-17T00:00:00.000+10:00,663.721,90,603
1959-08-18T00:00:00.000+10:00,663.739,90,603
1959-08-19T00:00:00.000+10:00,663.749,90,603
1959-08-20T00:00:00.000+10:00,663.751,90,603
1959-08-21T00:00:00.000+10:00,663.760,90,603
1959-08-22T00:00:00.000+10:00,663.770,90,603
1959-08-23T00:00:00.000+10:00,663.780,90,603
1959-08-24T00:00:00.000+10:00,663.793,90,603
1959-08-25T00:00:00.000+10:00,663.819,90,603
1959-08-26T00:00:00.000+10:00,663.840,90,603
1959-08-27T00:00:00.000+10:00,663.859,90,603
1959-08-28T00:00:00.000+10:00,663.882,90,603
1959-08-29T00:00:00.000+10:00,663.920,90,603
1959-08-30T00:00:00.000+10:00,663.958,90,603
1959-08-31T00:00:00.000+10:00,663.981,90,603
1959-09-01T00:00:00.000+10:00,664.011,90,603
1959-09-02T00:00:00.000+10:00,664.050,90,603
1959-09-03T00:00:00.000+10:00,664.090,90,603
1959-09-04T00:00:00.000+10:00,664.130,90,603
1959-09-05T00:00:00.000+10:00,664.170,90,603
1959-09-06T00:00:00.000+10:00,664.210,90,603
1959-09-07T00:00:00.000+10:00,664.250,90,603
1959-09-08T00:00:00.000+10:00,664.289,90,603
1959-09-09T00:00:00.000+10:00,664.320,90,603
1959-09-10T00:00:00.000+10:00,664.351,90,603
1959-09-11T00:00:00.000+10:00,664.388,90,603
1959-09-12T00:00:00.000+10:00,664.411,90,603
1959-09-13T00:00:00.000+10:00,664.439,90,603
1959-09-14T00:00:00.000+10:00,664.460,90,603
1959-09-15T00:00:00.000+10:00,664.480,90,603
1959-09-16T00:00:00.000+10:00,664.500,90,603
1959-09-17T00:00:00.000+10:00,664.520,90,603
1959-09-18T00:00:00.000+10:00,664.539,90,603
1959-09-19T00:00:00.000+10:00,664.550,90,603
1959-09-20T00:00:00.000+10:00,664.561,90,603
1959-09-21T00:00:00.000+10:00,664.579,90,603
1959-09-22T00:00:00.000+10:00,664.590,90,603
1959-09-23T00:00:00.000+10:00,664.600,90,603
1959-09-24T00:00:00.000+10:00,664.609,90,603
1959-09-25T00:00:00.000+10:00,664.611,90,603
1959-09-26T00:00:00.000+10:00,664.620,90,603
1959-09-27T00:00:00.000+10:00,664.630,90,603
1959-09-28T00:00:00.000+10:00,664.639,90,603
1959-09-29T00:00:00.000+10:00,664.640,90,603
1959-09-30T00:00:00.000+10:00,664.640,90,603
1959-10-01T00:00:00.000+10:00,664.640,90,603
1959-10-02T00:00:00.000+10:00,664.641,90,603
1959-10-03T00:00:00.000+10:00,664.648,90,603
1959-10-04T00:00:00.000+10:00,664.641,90,603
1959-10-05T00:00:00.000+10:00,664.640,90,603
1959-10-06T00:00:00.000+10:00,664.639,90,603
1959-10-07T00:00:00.000+10:00,664.631,90,603
1959-10-08T00:00:00.000+10:00,664.630,90,603
1959-10-09T00:00:00.000+10:00,664.629,90,603
1959-10-10T00:00:00.000+10:00,664.621,90,603
1959-10-11T00:00:00.000+10:00,664.620,90,603
1959-10-12T00:00:00.000+10:00,664.620,90,603
1959-10-13T00:00:00.000+10:00,664.619,90,603
1959-10-14T00:00:00.000+10:00,664.611,90,603
1959-10-15T00:00:00.000+10:00,664.610,90,603
1959-10-16T00:00:00.000+10:00,664.610,90,603
1959-10-17T00:00:00.000+10:00,664.610,90,603
1959-10-18T00:00:00.000+10:00,664.610,90,603
1959-10-19T00:00:00.000+10:00,664.609,90,603
1959-10-20T00:00:00.000+10:00,664.601,90,603
1959-10-21T00:00:00.000+10:00,664.599,90,603
1959-10-22T00:00:00.000+10:00,664.590,90,603
1959-10-23T00:00:00.000+10:00,664.580,90,603
1959-10-24T00:00:00.000+10:00,664.570,90,603
1959-10-25T00:00:00.000+10:00,664.561,90,603
1959-10-26T00:00:00.000+10:00,664.559,90,603
1959-10-27T00:00:00.000+10:00,664.550,90,603
1959-10-28T00:00:00.000+10:00,664.540,90,603
1959-10-29T00:00:00.000+10:00,664.530,90,603
1959-10-30T00:00:00.000+10:00,664.519,90,603
1959-10-31T00:00:00.000+10:00,664.503,90,603
1959-11-01T00:00:00.000+10:00,664.499,90,603
1959-11-02T00:00:00.000+10:00,664.490,90,603
1959-11-03T00:00:00.000+10:00,664.485,90,603
1959-11-04T00:00:00.000+10:00,664.489,90,603
1959-11-05T00:00:00.000+10:00,664.480,90,603
1959-11-06T00:00:00.000+10:00,664.471,90,603
1959-11-07T00:00:00.000+10:00,664.469,90,603
1959-11-08T00:00:00.000+10:00,664.461,90,603
1959-11-09T00:00:00.000+10:00,664.458,90,603
1959-11-10T00:00:00.000+10:00,664.441,90,603
1959-11-11T00:00:00.000+10:00,664.430,90,603
1959-11-12T00:00:00.000+10:00,664.420,90,603
1959-11-13T00:00:00.000+10:00,664.410,90,603
1959-11-14T00:00:00.000+10:00,664.400,90,603
1959-11-15T00:00:00.000+10:00,664.391,90,603
1959-11-16T00:00:00.000+10:00,664.389,90,603
1959-11-17T00:00:00.000+10:00,664.385,90,603
1959-11-18T00:00:00.000+10:00,664.382,90,603
1959-11-19T00:00:00.000+10:00,664.377,90,603
1959-11-20T00:00:00.000+10:00,664.388,90,603
1959-11-21T00:00:00.000+10:00,664.390,90,603
1959-11-22T00:00:00.000+10:00,664.390,90,603
1959-11-23T00:00:00.000+10:00,664.389,90,603
1959-11-24T00:00:00.000+10:00,664.379,90,603
1959-11-25T00:00:00.000+10:00,664.359,90,603
1959-11-26T00:00:00.000+10:00,664.333,90,603
1959-11-27T00:00:00.000+10:00,664.320,90,603
1959-11-28T00:00:00.000+10:00,664.310,90,603
1959-11-29T00:00:00.000+10:00,664.300,90,603
1959-11-30T00:00:00.000+10:00,664.290,90,603
1959-12-01T00:00:00.000+10:00,664.279,90,603
1959-12-02T00:00:00.000+10:00,664.270,90,603
1959-12-03T00:00:00.000+10:00,664.281,90,603
1959-12-04T00:00:00.000+10:00,664.270,90,603
1959-12-05T00:00:00.000+10:00,664.259,90,603
