Value,Value,Gauge_ID,Surface_Area,Timestamp
216,216,138121A,3375000.0,2000-01-01
216,216,138121A,3375000.0,2000-02-01
217,217,138121A,3525000.0,2000-03-01
217,217,138121A,3525000.0,2000-04-01
217,217,138121A,3525000.0,2000-05-01
217,217,138121A,3525000.0,2000-06-01
216,216,138121A,3375000.0,2000-07-01
216,216,138121A,3375000.0,2000-08-01
216,216,138121A,3375000.0,2000-09-01
215,215,138121A,3336875.0,2000-10-01
217,217,138121A,3525000.0,2000-11-01
216,216,138121A,3375000.0,2000-12-01
216,216,138121A,3375000.0,2001-01-01
217,217,138121A,3525000.0,2001-02-01
217,217,138121A,3525000.0,2001-03-01
216,216,138121A,3375000.0,2001-04-01
216,216,138121A,3375000.0,2001-05-01
216,216,138121A,3375000.0,2001-06-01
216,216,138121A,3375000.0,2001-07-01
215,215,138121A,3336875.0,2001-08-01
215,215,138121A,3336875.0,2001-09-01
214,214,138121A,3230000.0,2001-10-01
214,214,138121A,3230000.0,2001-11-01
213,213,138121A,3130000.0,2001-12-01
213,213,138121A,3130000.0,2002-01-01
212,212,138121A,3033125.0,2002-02-01
212,212,138121A,3033125.0,2002-03-01
211,211,138121A,2943125.0,2002-04-01
211,211,138121A,2943125.0,2002-05-01
211,211,138121A,2943125.0,2002-06-01
211,211,138121A,2943125.0,2002-07-01
210,210,138121A,2845000.0,2002-08-01
210,210,138121A,2845000.0,2002-09-01
209,209,138121A,2790625.0,2002-10-01
209,209,138121A,2790625.0,2002-11-01
207,207,138121A,2570625.0,2002-12-01
207,207,138121A,2570625.0,2003-01-01
209,209,138121A,2790625.0,2003-02-01
216,216,138121A,3375000.0,2003-03-01
216,216,138121A,3375000.0,2003-04-01
217,217,138121A,3525000.0,2003-05-01
217,217,138121A,3525000.0,2003-06-01
216,216,138121A,3375000.0,2003-07-01
216,216,138121A,3375000.0,2003-08-01
216,216,138121A,3375000.0,2003-09-01
216,216,138121A,3375000.0,2003-10-01
215,215,138121A,3336875.0,2003-11-01
215,215,138121A,3336875.0,2003-12-01
215,215,138121A,3336875.0,2004-01-01
216,216,138121A,3375000.0,2004-02-01
216,216,138121A,3375000.0,2004-03-01
217,217,138121A,3525000.0,2004-04-01
216,216,138121A,3375000.0,2004-05-01
216,216,138121A,3375000.0,2004-06-01
216,216,138121A,3375000.0,2004-07-01
215,215,138121A,3336875.0,2004-08-01
214,214,138121A,3230000.0,2004-09-01
213,213,138121A,3130000.0,2004-10-01
213,213,138121A,3130000.0,2004-11-01
213,213,138121A,3130000.0,2004-12-01
213,213,138121A,3130000.0,2005-01-01
213,213,138121A,3130000.0,2005-02-01
212,212,138121A,3033125.0,2005-03-01
212,212,138121A,3033125.0,2005-04-01
213,213,138121A,3130000.0,2005-05-01
213,213,138121A,3130000.0,2005-06-01
214,214,138121A,3230000.0,2005-07-01
214,214,138121A,3230000.0,2005-08-01
214,214,138121A,3230000.0,2005-09-01
213,213,138121A,3130000.0,2005-10-01
213,213,138121A,3130000.0,2005-11-01
214,214,138121A,3230000.0,2005-12-01
214,214,138121A,3230000.0,2006-01-01
214,214,138121A,3230000.0,2006-02-01
216,216,138121A,3375000.0,2006-03-01
216,216,138121A,3375000.0,2006-04-01
216,216,138121A,3375000.0,2006-05-01
215,215,138121A,3336875.0,2006-06-01
215,215,138121A,3336875.0,2006-07-01
215,215,138121A,3336875.0,2006-08-01
215,215,138121A,3336875.0,2006-09-01
214,214,138121A,3230000.0,2006-10-01
214,214,138121A,3230000.0,2006-11-01
213,213,138121A,3130000.0,2006-12-01
213,213,138121A,3130000.0,2007-01-01
213,213,138121A,3130000.0,2007-02-01
213,213,138121A,3130000.0,2007-03-01
213,213,138121A,3130000.0,2007-04-01
213,213,138121A,3130000.0,2007-05-01
213,213,138121A,3130000.0,2007-06-01
213,213,138121A,3130000.0,2007-07-01
213,213,138121A,3130000.0,2007-08-01
217,217,138121A,3525000.0,2007-09-01
216,216,138121A,3375000.0,2007-10-01
216,216,138121A,3375000.0,2007-11-01
216,216,138121A,3375000.0,2007-12-01
217,217,138121A,3525000.0,2008-01-01
217,217,138121A,3525000.0,2008-02-01
217,217,138121A,3525000.0,2008-03-01
216,216,138121A,3375000.0,2008-04-01
216,216,138121A,3375000.0,2008-05-01
217,217,138121A,3525000.0,2008-06-01
217,217,138121A,3525000.0,2008-07-01
217,217,138121A,3525000.0,2008-08-01
217,217,138121A,3525000.0,2008-09-01
216,216,138121A,3375000.0,2008-10-01
215,215,138121A,3336875.0,2008-11-01
216,216,138121A,3375000.0,2008-12-01
216,216,138121A,3375000.0,2009-01-01
216,216,138121A,3375000.0,2009-02-01
216,216,138121A,3375000.0,2009-03-01
217,217,138121A,3525000.0,2009-04-01
216,216,138121A,3375000.0,2009-05-01
216,216,138121A,3375000.0,2009-06-01
217,217,138121A,3525000.0,2009-07-01
216,216,138121A,3375000.0,2009-08-01
216,216,138121A,3375000.0,2009-09-01
215,215,138121A,3336875.0,2009-10-01
