Value,Value,Gauge_ID,Surface_Area,Timestamp
379,379.0,410102,38831875.0,1975-10-01
379,379.0,410102,38831875.0,1975-11-01
378,378.0,410102,38531875.0,1975-12-01
376,376.0,410102,38101250.0,1976-01-01
373,373.0,410102,36982812.5,1976-02-01
373,373.0,410102,36982812.5,1976-03-01
370,370.0,410102,35692500.0,1976-04-01
369,369.0,410102,35293125.0,1976-05-01
367,367.0,410102,34414687.5,1976-06-01
371,371.0,410102,36144687.5,1976-07-01
374,374.0,410102,37368750.0,1976-08-01
374,374.0,410102,37368750.0,1976-09-01
376,376.0,410102,38101250.0,1976-10-01
375,375.0,410102,37735000.0,1976-11-01
373,373.0,410102,36982812.5,1976-12-01
368,368.0,410102,34893750.0,1977-01-01
365,365.0,410102,33431875.0,1977-02-01
362,362.0,410102,31920000.0,1977-03-01
359,359.0,410102,30387500.0,1977-04-01
360,360.0,410102,30776875.0,1977-05-01
365,365.0,410102,33431875.0,1977-06-01
370,370.0,410102,35692500.0,1977-07-01
373,373.0,410102,36982812.5,1977-08-01
374,374.0,410102,37368750.0,1977-09-01
372,372.0,410102,36596875.0,1977-10-01
369,369.0,410102,35293125.0,1977-11-01
366,366.0,410102,33935625.0,1977-12-01
360,360.0,410102,30776875.0,1978-01-01
357,357.0,410102,29433437.5,1978-02-01
353,353.0,410102,27366562.5,1978-03-01
350,350.0,410102,25508125.0,1978-04-01
348,348.0,410102,24228750.0,1978-05-01
352,352.0,410102,26758750.0,1978-06-01
359,359.0,410102,30387500.0,1978-07-01
367,367.0,410102,34414687.5,1978-08-01
373,373.0,410102,36982812.5,1978-09-01
375,375.0,410102,37735000.0,1978-10-01
375,375.0,410102,37735000.0,1978-11-01
374,374.0,410102,37368750.0,1978-12-01
370,370.0,410102,35692500.0,1979-01-01
368,368.0,410102,34893750.0,1979-02-01
368,368.0,410102,34893750.0,1979-03-01
367,367.0,410102,34414687.5,1979-04-01
370,370.0,410102,35692500.0,1979-05-01
372,372.0,410102,36596875.0,1979-06-01
374,374.0,410102,37368750.0,1979-07-01
375,375.0,410102,37735000.0,1979-08-01
375,375.0,410102,37735000.0,1979-09-01
375,375.0,410102,37735000.0,1979-10-01
372,372.0,410102,36596875.0,1979-11-01
368,368.0,410102,34893750.0,1979-12-01
361,361.0,410102,31348437.5,1980-01-01
354,354.0,410102,27974375.0,1980-02-01
346,346.0,410102,23192500.0,1980-03-01
339,339.0,410102,19020312.5,1980-04-01
342,342.0,410102,20798750.0,1980-05-01
348,348.0,410102,24228750.0,1980-06-01
356,356.0,410102,28868750.0,1980-07-01
362,362.0,410102,31920000.0,1980-08-01
365,365.0,410102,33431875.0,1980-09-01
363,363.0,410102,32424062.5,1980-10-01
359,359.0,410102,30387500.0,1980-11-01
356,356.0,410102,28868750.0,1980-12-01
350,350.0,410102,25508125.0,1981-01-01
344,344.0,410102,21843750.0,1981-02-01
337,337.0,410102,17920625.0,1981-03-01
340,340.0,410102,19612500.0,1981-04-01
345,345.0,410102,22518125.0,1981-05-01
353,353.0,410102,27366562.5,1981-06-01
361,361.0,410102,31348437.5,1981-07-01
371,371.0,410102,36144687.5,1981-08-01
376,376.0,410102,38101250.0,1981-09-01
377,377.0,410102,38316562.5,1981-10-01
375,375.0,410102,37735000.0,1981-11-01
372,372.0,410102,36596875.0,1981-12-01
366,366.0,410102,33935625.0,1982-01-01
359,359.0,410102,30387500.0,1982-02-01
355,355.0,410102,28421562.5,1982-03-01
355,355.0,410102,28421562.5,1982-04-01
358,358.0,410102,29998125.0,1982-05-01
362,362.0,410102,31920000.0,1982-06-01
364,364.0,410102,32928125.0,1982-07-01
361,361.0,410102,31348437.5,1982-08-01
356,356.0,410102,28868750.0,1982-09-01
353,353.0,410102,27366562.5,1982-10-01
347,347.0,410102,23710625.0,1982-11-01
337,337.0,410102,17920625.0,1982-12-01
325,325.0,410102,11534062.5,1983-01-01
310,310.0,410102,5486250.0,1983-02-01
307,307.0,410102,4786250.0,1983-03-01
307,307.0,410102,4786250.0,1983-04-01
310,310.0,410102,5486250.0,1983-05-01
318,318.0,410102,8139166.667,1983-06-01
329,329.0,410102,13230937.5,1983-07-01
341,341.0,410102,20205625.0,1983-08-01
351,351.0,410102,26133437.5,1983-09-01
356,356.0,410102,28868750.0,1983-10-01
360,360.0,410102,30776875.0,1983-11-01
365,365.0,410102,33431875.0,1983-12-01
367,367.0,410102,34414687.5,1984-01-01
369,369.0,410102,35293125.0,1984-02-01
370,370.0,410102,35692500.0,1984-03-01
371,371.0,410102,36144687.5,1984-04-01
373,373.0,410102,36982812.5,1984-05-01
374,374.0,410102,37368750.0,1984-06-01
376,376.0,410102,38101250.0,1984-07-01
376,376.0,410102,38101250.0,1984-08-01
378,378.0,410102,38531875.0,1984-09-01
379,379.0,410102,38831875.0,1984-10-01
376,376.0,410102,38101250.0,1984-11-01
374,374.0,410102,37368750.0,1984-12-01
367,367.0,410102,34414687.5,1985-01-01
360,360.0,410102,30776875.0,1985-02-01
354,354.0,410102,27974375.0,1985-03-01
354,354.0,410102,27974375.0,1985-04-01
358,358.0,410102,29998125.0,1985-05-01
362,362.0,410102,31920000.0,1985-06-01
367,367.0,410102,34414687.5,1985-07-01
373,373.0,410102,36982812.5,1985-08-01
376,376.0,410102,38101250.0,1985-09-01
376,376.0,410102,38101250.0,1985-10-01
376,376.0,410102,38101250.0,1985-11-01
376,376.0,410102,38101250.0,1985-12-01
371,371.0,410102,36144687.5,1986-01-01
365,365.0,410102,33431875.0,1986-02-01
360,360.0,410102,30776875.0,1986-03-01
356,356.0,410102,28868750.0,1986-04-01
357,357.0,410102,29433437.5,1986-05-01
360,360.0,410102,30776875.0,1986-06-01
366,366.0,410102,33935625.0,1986-07-01
371,371.0,410102,36144687.5,1986-08-01
375,375.0,410102,37735000.0,1986-09-01
376,376.0,410102,38101250.0,1986-10-01
377,377.0,410102,38316562.5,1986-11-01
376,376.0,410102,38101250.0,1986-12-01
372,372.0,410102,36596875.0,1987-01-01
366,366.0,410102,33935625.0,1987-02-01
361,361.0,410102,31348437.5,1987-03-01
356,356.0,410102,28868750.0,1987-04-01
355,355.0,410102,28421562.5,1987-05-01
359,359.0,410102,30387500.0,1987-06-01
363,363.0,410102,32424062.5,1987-07-01
368,368.0,410102,34893750.0,1987-08-01
373,373.0,410102,36982812.5,1987-09-01
373,373.0,410102,36982812.5,1987-10-01
368,368.0,410102,34893750.0,1987-11-01
362,362.0,410102,31920000.0,1987-12-01
354,354.0,410102,27974375.0,1988-01-01
346,346.0,410102,23192500.0,1988-02-01
339,339.0,410102,19020312.5,1988-03-01
340,340.0,410102,19612500.0,1988-04-01
344,344.0,410102,21843750.0,1988-05-01
352,352.0,410102,26758750.0,1988-06-01
359,359.0,410102,30387500.0,1988-07-01
366,366.0,410102,33935625.0,1988-08-01
371,371.0,410102,36144687.5,1988-09-01
373,373.0,410102,36982812.5,1988-10-01
370,370.0,410102,35692500.0,1988-11-01
372,372.0,410102,36596875.0,1988-12-01
373,373.0,410102,36982812.5,1989-01-01
369,369.0,410102,35293125.0,1989-02-01
364,364.0,410102,32928125.0,1989-03-01
365,365.0,410102,33431875.0,1989-04-01
369,369.0,410102,35293125.0,1989-05-01
372,372.0,410102,36596875.0,1989-06-01
371,371.0,410102,36144687.5,1989-07-01
373,373.0,410102,36982812.5,1989-08-01
374,374.0,410102,37368750.0,1989-09-01
374,374.0,410102,37368750.0,1989-10-01
374,374.0,410102,37368750.0,1989-11-01
372,372.0,410102,36596875.0,1989-12-01
369,369.0,410102,35293125.0,1990-01-01
366,366.0,410102,33935625.0,1990-02-01
362,362.0,410102,31920000.0,1990-03-01
359,359.0,410102,30387500.0,1990-04-01
362,362.0,410102,31920000.0,1990-05-01
366,366.0,410102,33935625.0,1990-06-01
371,371.0,410102,36144687.5,1990-07-01
375,375.0,410102,37735000.0,1990-08-01
375,375.0,410102,37735000.0,1990-09-01
375,375.0,410102,37735000.0,1990-10-01
375,375.0,410102,37735000.0,1990-11-01
373,373.0,410102,36982812.5,1990-12-01
370,370.0,410102,35692500.0,1991-01-01
367,367.0,410102,34414687.5,1991-02-01
362,362.0,410102,31920000.0,1991-03-01
358,358.0,410102,29998125.0,1991-04-01
360,360.0,410102,30776875.0,1991-05-01
363,363.0,410102,32424062.5,1991-06-01
367,367.0,410102,34414687.5,1991-07-01
372,372.0,410102,36596875.0,1991-08-01
375,375.0,410102,37735000.0,1991-09-01
376,376.0,410102,38101250.0,1991-10-01
374,374.0,410102,37368750.0,1991-11-01
371,371.0,410102,36144687.5,1991-12-01
368,368.0,410102,34893750.0,1992-01-01
366,366.0,410102,33935625.0,1992-02-01
363,363.0,410102,32424062.5,1992-03-01
360,360.0,410102,30776875.0,1992-04-01
361,361.0,410102,31348437.5,1992-05-01
364,364.0,410102,32928125.0,1992-06-01
367,367.0,410102,34414687.5,1992-07-01
372,372.0,410102,36596875.0,1992-08-01
375,375.0,410102,37735000.0,1992-09-01
379,379.0,410102,38831875.0,1992-10-01
379,379.0,410102,38831875.0,1992-11-01
378,378.0,410102,38531875.0,1992-12-01
376,376.0,410102,38101250.0,1993-01-01
373,373.0,410102,36982812.5,1993-02-01
373,373.0,410102,36982812.5,1993-03-01
370,370.0,410102,35692500.0,1993-04-01
368,368.0,410102,34893750.0,1993-05-01
368,368.0,410102,34893750.0,1993-06-01
368,368.0,410102,34893750.0,1993-07-01
372,372.0,410102,36596875.0,1993-08-01
373,373.0,410102,36982812.5,1993-09-01
375,375.0,410102,37735000.0,1993-10-01
374,374.0,410102,37368750.0,1993-11-01
373,373.0,410102,36982812.5,1993-12-01
370,370.0,410102,35692500.0,1994-01-01
367,367.0,410102,34414687.5,1994-02-01
364,364.0,410102,32928125.0,1994-03-01
363,363.0,410102,32424062.5,1994-04-01
363,363.0,410102,32424062.5,1994-05-01
365,365.0,410102,33431875.0,1994-06-01
370,370.0,410102,35692500.0,1994-07-01
373,373.0,410102,36982812.5,1994-08-01
373,373.0,410102,36982812.5,1994-09-01
369,369.0,410102,35293125.0,1994-10-01
367,367.0,410102,34414687.5,1994-11-01
364,364.0,410102,32928125.0,1994-12-01
358,358.0,410102,29998125.0,1995-01-01
353,353.0,410102,27366562.5,1995-02-01
347,347.0,410102,23710625.0,1995-03-01
343,343.0,410102,21321250.0,1995-04-01
346,346.0,410102,23192500.0,1995-05-01
354,354.0,410102,27974375.0,1995-06-01
362,362.0,410102,31920000.0,1995-07-01
369,369.0,410102,35293125.0,1995-08-01
373,373.0,410102,36982812.5,1995-09-01
374,374.0,410102,37368750.0,1995-10-01
374,374.0,410102,37368750.0,1995-11-01
374,374.0,410102,37368750.0,1995-12-01
371,371.0,410102,36144687.5,1996-01-01
366,366.0,410102,33935625.0,1996-02-01
363,363.0,410102,32424062.5,1996-03-01
362,362.0,410102,31920000.0,1996-04-01
363,363.0,410102,32424062.5,1996-05-01
365,365.0,410102,33431875.0,1996-06-01
369,369.0,410102,35293125.0,1996-07-01
375,375.0,410102,37735000.0,1996-08-01
375,375.0,410102,37735000.0,1996-09-01
378,378.0,410102,38531875.0,1996-10-01
377,377.0,410102,38316562.5,1996-11-01
375,375.0,410102,37735000.0,1996-12-01
370,370.0,410102,35692500.0,1997-01-01
366,366.0,410102,33935625.0,1997-02-01
362,362.0,410102,31920000.0,1997-03-01
359,359.0,410102,30387500.0,1997-04-01
357,357.0,410102,29433437.5,1997-05-01
360,360.0,410102,30776875.0,1997-06-01
365,365.0,410102,33431875.0,1997-07-01
368,368.0,410102,34893750.0,1997-08-01
370,370.0,410102,35692500.0,1997-09-01
368,368.0,410102,34893750.0,1997-10-01
362,362.0,410102,31920000.0,1997-11-01
356,356.0,410102,28868750.0,1997-12-01
347,347.0,410102,23710625.0,1998-01-01
340,340.0,410102,19612500.0,1998-02-01
330,330.0,410102,13808125.0,1998-03-01
318,318.0,410102,8139166.667,1998-04-01
321,321.0,410102,9384687.5,1998-05-01
325,325.0,410102,11534062.5,1998-06-01
335,335.0,410102,16965000.0,1998-07-01
