Value,Value,Gauge_ID,Surface_Area,Timestamp
135,135,226230A,7023125.0,2003-11-01
135,135,226230A,7023125.0,2003-12-01
135,135,226230A,7023125.0,2004-01-01
135,135,226230A,7023125.0,2004-02-01
133,133,226230A,6735312.5,2004-03-01
132,132,226230A,6607500.0,2004-04-01
132,132,226230A,6607500.0,2004-05-01
132,132,226230A,6607500.0,2004-06-01
133,133,226230A,6735312.5,2004-07-01
134,134,226230A,6863125.0,2004-08-01
135,135,226230A,7023125.0,2004-09-01
136,136,226230A,7238750.0,2004-10-01
137,137,226230A,7505625.0,2004-11-01
138,138,226230A,7631875.0,2004-12-01
138,138,226230A,7631875.0,2005-01-01
139,139,226230A,7755625.0,2005-02-01
139,139,226230A,7755625.0,2005-03-01
138,138,226230A,7631875.0,2005-04-01
138,138,226230A,7631875.0,2005-05-01
137,137,226230A,7505625.0,2005-06-01
137,137,226230A,7505625.0,2005-07-01
137,137,226230A,7505625.0,2005-08-01
138,138,226230A,7631875.0,2005-09-01
139,139,226230A,7755625.0,2005-10-01
139,139,226230A,7755625.0,2005-11-01
138,138,226230A,7631875.0,2005-12-01
138,138,226230A,7631875.0,2006-01-01
137,137,226230A,7505625.0,2006-02-01
135,135,226230A,7023125.0,2006-03-01
134,134,226230A,6863125.0,2006-04-01
135,135,226230A,7023125.0,2006-05-01
135,135,226230A,7023125.0,2006-06-01
135,135,226230A,7023125.0,2006-07-01
135,135,226230A,7023125.0,2006-08-01
135,135,226230A,7023125.0,2006-09-01
135,135,226230A,7023125.0,2006-10-01
134,134,226230A,6863125.0,2006-11-01
133,133,226230A,6735312.5,2006-12-01
131,131,226230A,6234062.5,2007-01-01
130,130,226230A,5860625.0,2007-02-01
128,128,226230A,5545208.333,2007-03-01
127,127,226230A,5387500.0,2007-04-01
126,126,226230A,4940000.0,2007-05-01
126,126,226230A,4940000.0,2007-06-01
129,129,226230A,5702916.667,2007-07-01
131,131,226230A,6234062.5,2007-08-01
132,132,226230A,6607500.0,2007-09-01
133,133,226230A,6735312.5,2007-10-01
134,134,226230A,6863125.0,2007-11-01
135,135,226230A,7023125.0,2007-12-01
135,135,226230A,7023125.0,2008-01-01
134,134,226230A,6863125.0,2008-02-01
133,133,226230A,6735312.5,2008-03-01
133,133,226230A,6735312.5,2008-04-01
132,132,226230A,6607500.0,2008-05-01
132,132,226230A,6607500.0,2008-06-01
132,132,226230A,6607500.0,2008-07-01
133,133,226230A,6735312.5,2008-08-01
133,133,226230A,6735312.5,2008-09-01
134,134,226230A,6863125.0,2008-10-01
134,134,226230A,6863125.0,2008-11-01
136,136,226230A,7238750.0,2008-12-01
136,136,226230A,7238750.0,2009-01-01
135,135,226230A,7023125.0,2009-02-01
134,134,226230A,6863125.0,2009-03-01
134,134,226230A,6863125.0,2009-04-01
133,133,226230A,6735312.5,2009-05-01
132,132,226230A,6607500.0,2009-06-01
132,132,226230A,6607500.0,2009-07-01
132,132,226230A,6607500.0,2009-08-01
133,133,226230A,6735312.5,2009-09-01
135,135,226230A,7023125.0,2009-10-01
136,136,226230A,7238750.0,2009-11-01
135,135,226230A,7023125.0,2009-12-01
135,135,226230A,7023125.0,2010-01-01
134,134,226230A,6863125.0,2010-02-01
134,134,226230A,6863125.0,2010-03-01
134,134,226230A,6863125.0,2010-04-01
134,134,226230A,6863125.0,2010-05-01
134,134,226230A,6863125.0,2010-06-01
135,135,226230A,7023125.0,2010-07-01
135,135,226230A,7023125.0,2010-08-01
137,137,226230A,7505625.0,2010-09-01
137,137,226230A,7505625.0,2010-10-01
138,138,226230A,7631875.0,2010-11-01
139,139,226230A,7755625.0,2010-12-01
139,139,226230A,7755625.0,2011-01-01
139,139,226230A,7755625.0,2011-02-01
138,138,226230A,7631875.0,2011-03-01
139,139,226230A,7755625.0,2011-04-01
139,139,226230A,7755625.0,2011-05-01
139,139,226230A,7755625.0,2011-06-01
140,140,226230A,7805000.0,2011-07-01
140,140,226230A,7805000.0,2011-08-01
140,140,226230A,7805000.0,2011-09-01
140,140,226230A,7805000.0,2011-10-01
140,140,226230A,7805000.0,2011-11-01
140,140,226230A,7805000.0,2011-12-01
140,140,226230A,7805000.0,2012-01-01
139,139,226230A,7755625.0,2012-02-01
139,139,226230A,7755625.0,2012-03-01
139,139,226230A,7755625.0,2012-04-01
140,140,226230A,7805000.0,2012-05-01
140,140,226230A,7805000.0,2012-06-01
140,140,226230A,7805000.0,2012-07-01
140,140,226230A,7805000.0,2012-08-01
140,140,226230A,7805000.0,2012-09-01
140,140,226230A,7805000.0,2012-10-01
139,139,226230A,7755625.0,2012-11-01
140,140,226230A,7805000.0,2012-12-01
139,139,226230A,7755625.0,2013-01-01
139,139,226230A,7755625.0,2013-02-01
138,138,226230A,7631875.0,2013-03-01
138,138,226230A,7631875.0,2013-04-01
138,138,226230A,7631875.0,2013-05-01
138,138,226230A,7631875.0,2013-06-01
139,139,226230A,7755625.0,2013-07-01
140,140,226230A,7805000.0,2013-08-01
140,140,226230A,7805000.0,2013-09-01
140,140,226230A,7805000.0,2013-10-01
140,140,226230A,7805000.0,2013-11-01
140,140,226230A,7805000.0,2013-12-01
139,139,226230A,7755625.0,2014-01-01
139,139,226230A,7755625.0,2014-02-01
139,139,226230A,7755625.0,2014-03-01
138,138,226230A,7631875.0,2014-04-01
138,138,226230A,7631875.0,2014-05-01
139,139,226230A,7755625.0,2014-06-01
140,140,226230A,7805000.0,2014-07-01
140,140,226230A,7805000.0,2014-08-01
140,140,226230A,7805000.0,2014-09-01
140,140,226230A,7805000.0,2014-10-01
140,140,226230A,7805000.0,2014-11-01
139,139,226230A,7755625.0,2014-12-01
139,139,226230A,7755625.0,2015-01-01
139,139,226230A,7755625.0,2015-02-01
139,139,226230A,7755625.0,2015-03-01
139,139,226230A,7755625.0,2015-04-01
138,138,226230A,7631875.0,2015-05-01
139,139,226230A,7755625.0,2015-06-01
139,139,226230A,7755625.0,2015-07-01
140,140,226230A,7805000.0,2015-08-01
140,140,226230A,7805000.0,2015-09-01
139,139,226230A,7755625.0,2015-10-01
139,139,226230A,7755625.0,2015-11-01
139,139,226230A,7755625.0,2015-12-01
138,138,226230A,7631875.0,2016-01-01
138,138,226230A,7631875.0,2016-02-01
137,137,226230A,7505625.0,2016-03-01
136,136,226230A,7238750.0,2016-04-01
135,135,226230A,7023125.0,2016-05-01
136,136,226230A,7238750.0,2016-06-01
137,137,226230A,7505625.0,2016-07-01
139,139,226230A,7755625.0,2016-08-01
139,139,226230A,7755625.0,2016-09-01
140,140,226230A,7805000.0,2016-10-01
140,140,226230A,7805000.0,2016-11-01
139,139,226230A,7755625.0,2016-12-01
139,139,226230A,7755625.0,2017-01-01
139,139,226230A,7755625.0,2017-02-01
138,138,226230A,7631875.0,2017-03-01
137,137,226230A,7505625.0,2017-04-01
137,137,226230A,7505625.0,2017-05-01
137,137,226230A,7505625.0,2017-06-01
137,137,226230A,7505625.0,2017-07-01
138,138,226230A,7631875.0,2017-08-01
138,138,226230A,7631875.0,2017-09-01
139,139,226230A,7755625.0,2017-10-01
139,139,226230A,7755625.0,2017-11-01
139,139,226230A,7755625.0,2017-12-01
139,139,226230A,7755625.0,2018-01-01
139,139,226230A,7755625.0,2018-02-01
138,138,226230A,7631875.0,2018-03-01
136,136,226230A,7238750.0,2018-04-01
135,135,226230A,7023125.0,2018-05-01
136,136,226230A,7238750.0,2018-06-01
136,136,226230A,7238750.0,2018-07-01
137,137,226230A,7505625.0,2018-08-01
138,138,226230A,7631875.0,2018-09-01
138,138,226230A,7631875.0,2018-10-01
138,138,226230A,7631875.0,2018-11-01
138,138,226230A,7631875.0,2018-12-01
137,137,226230A,7505625.0,2019-01-01
136,136,226230A,7238750.0,2019-02-01
135,135,226230A,7023125.0,2019-03-01
134,134,226230A,6863125.0,2019-04-01
133,133,226230A,6735312.5,2019-05-01
134,134,226230A,6863125.0,2019-06-01
134,134,226230A,6863125.0,2019-07-01
135,135,226230A,7023125.0,2019-08-01
137,137,226230A,7505625.0,2019-09-01
138,138,226230A,7631875.0,2019-10-01
139,139,226230A,7755625.0,2019-11-01
139,139,226230A,7755625.0,2019-12-01
139,139,226230A,7755625.0,2020-01-01
139,139,226230A,7755625.0,2020-02-01
139,139,226230A,7755625.0,2020-03-01
139,139,226230A,7755625.0,2020-04-01
140,140,226230A,7805000.0,2020-05-01
139,139,226230A,7755625.0,2020-06-01
140,140,226230A,7805000.0,2020-07-01
140,140,226230A,7805000.0,2020-08-01
140,140,226230A,7805000.0,2020-09-01
