Value,Value,Gauge_ID,Surface_Area,Timestamp
335,335,421078,48095312.5,1969-01-01
333,333,421078,43054687.5,1969-02-01
332,332,421078,40965625.0,1969-03-01
333,333,421078,43054687.5,1969-04-01
334,334,421078,45143750.0,1969-05-01
336,336,421078,51046875.0,1969-06-01
338,338,421078,54477500.0,1969-07-01
341,341,421078,62270000.0,1969-08-01
344,344,421078,69130625.0,1969-09-01
345,345,421078,71745625.0,1969-10-01
350,350,421078,80041875.0,1969-11-01
350,350,421078,80041875.0,1969-12-01
350,350,421078,80041875.0,1970-01-01
350,350,421078,80041875.0,1970-02-01
349,349,421078,79041875.0,1970-03-01
349,349,421078,79041875.0,1970-04-01
349,349,421078,79041875.0,1970-05-01
349,349,421078,79041875.0,1970-06-01
350,350,421078,80041875.0,1970-07-01
349,349,421078,79041875.0,1970-08-01
350,350,421078,80041875.0,1970-09-01
350,350,421078,80041875.0,1970-10-01
350,350,421078,80041875.0,1970-11-01
350,350,421078,80041875.0,1970-12-01
350,350,421078,80041875.0,1971-01-01
351,351,421078,81041875.0,1971-02-01
350,350,421078,80041875.0,1971-03-01
349,349,421078,79041875.0,1971-04-01
349,349,421078,79041875.0,1971-05-01
348,348,421078,77941875.0,1971-06-01
348,348,421078,77941875.0,1971-07-01
349,349,421078,79041875.0,1971-08-01
350,350,421078,80041875.0,1971-09-01
349,349,421078,79041875.0,1971-10-01
348,348,421078,77941875.0,1971-11-01
349,349,421078,79041875.0,1971-12-01
350,350,421078,80041875.0,1972-01-01
349,349,421078,79041875.0,1972-02-01
349,349,421078,79041875.0,1972-03-01
348,348,421078,77941875.0,1972-04-01
348,348,421078,77941875.0,1972-05-01
347,347,421078,76151250.0,1972-06-01
347,347,421078,76151250.0,1972-07-01
345,345,421078,71745625.0,1972-08-01
344,344,421078,69130625.0,1972-09-01
343,343,421078,66609687.5,1972-10-01
342,342,421078,64088750.0,1972-11-01
341,341,421078,62270000.0,1972-12-01
339,339,421078,57464375.0,1973-01-01
345,345,421078,71745625.0,1973-02-01
347,347,421078,76151250.0,1973-03-01
347,347,421078,76151250.0,1973-04-01
348,348,421078,77941875.0,1973-05-01
348,348,421078,77941875.0,1973-06-01
350,350,421078,80041875.0,1973-07-01
348,348,421078,77941875.0,1973-08-01
350,350,421078,80041875.0,1973-09-01
350,350,421078,80041875.0,1973-10-01
350,350,421078,80041875.0,1973-11-01
349,349,421078,79041875.0,1973-12-01
349,349,421078,79041875.0,1974-01-01
348,348,421078,77941875.0,1974-02-01
347,347,421078,76151250.0,1974-03-01
347,347,421078,76151250.0,1974-04-01
349,349,421078,79041875.0,1974-05-01
350,350,421078,80041875.0,1974-06-01
350,350,421078,80041875.0,1974-07-01
349,349,421078,79041875.0,1974-08-01
350,350,421078,80041875.0,1974-09-01
350,350,421078,80041875.0,1974-10-01
350,350,421078,80041875.0,1974-11-01
348,348,421078,77941875.0,1974-12-01
346,346,421078,74360625.0,1975-01-01
345,345,421078,71745625.0,1975-02-01
344,344,421078,69130625.0,1975-03-01
343,343,421078,66609687.5,1975-04-01
342,342,421078,64088750.0,1975-05-01
342,342,421078,64088750.0,1975-06-01
343,343,421078,66609687.5,1975-07-01
344,344,421078,69130625.0,1975-08-01
345,345,421078,71745625.0,1975-09-01
346,346,421078,74360625.0,1975-10-01
348,348,421078,77941875.0,1975-11-01
347,347,421078,76151250.0,1975-12-01
346,346,421078,74360625.0,1976-01-01
348,348,421078,77941875.0,1976-02-01
349,349,421078,79041875.0,1976-03-01
349,349,421078,79041875.0,1976-04-01
349,349,421078,79041875.0,1976-05-01
348,348,421078,77941875.0,1976-06-01
348,348,421078,77941875.0,1976-07-01
347,347,421078,76151250.0,1976-08-01
346,346,421078,74360625.0,1976-09-01
349,349,421078,79041875.0,1976-10-01
349,349,421078,79041875.0,1976-11-01
348,348,421078,77941875.0,1976-12-01
347,347,421078,76151250.0,1977-01-01
345,345,421078,71745625.0,1977-02-01
345,345,421078,71745625.0,1977-03-01
344,344,421078,69130625.0,1977-04-01
344,344,421078,69130625.0,1977-05-01
344,344,421078,69130625.0,1977-06-01
345,345,421078,71745625.0,1977-07-01
345,345,421078,71745625.0,1977-08-01
345,345,421078,71745625.0,1977-09-01
344,344,421078,69130625.0,1977-10-01
343,343,421078,66609687.5,1977-11-01
341,341,421078,62270000.0,1977-12-01
340,340,421078,60451250.0,1978-01-01
342,342,421078,64088750.0,1978-02-01
341,341,421078,62270000.0,1978-03-01
343,343,421078,66609687.5,1978-04-01
343,343,421078,66609687.5,1978-05-01
348,348,421078,77941875.0,1978-06-01
349,349,421078,79041875.0,1978-07-01
348,348,421078,77941875.0,1978-08-01
349,349,421078,79041875.0,1978-09-01
348,348,421078,77941875.0,1978-10-01
348,348,421078,77941875.0,1978-11-01
348,348,421078,77941875.0,1978-12-01
346,346,421078,74360625.0,1979-01-01
344,344,421078,69130625.0,1979-02-01
344,344,421078,69130625.0,1979-03-01
344,344,421078,69130625.0,1979-04-01
344,344,421078,69130625.0,1979-05-01
344,344,421078,69130625.0,1979-06-01
344,344,421078,69130625.0,1979-07-01
344,344,421078,69130625.0,1979-08-01
345,345,421078,71745625.0,1979-09-01
345,345,421078,71745625.0,1979-10-01
344,344,421078,69130625.0,1979-11-01
343,343,421078,66609687.5,1979-12-01
341,341,421078,62270000.0,1980-01-01
340,340,421078,60451250.0,1980-02-01
338,338,421078,54477500.0,1980-03-01
336,336,421078,51046875.0,1980-04-01
335,335,421078,48095312.5,1980-05-01
335,335,421078,48095312.5,1980-06-01
335,335,421078,48095312.5,1980-07-01
335,335,421078,48095312.5,1980-08-01
335,335,421078,48095312.5,1980-09-01
334,334,421078,45143750.0,1980-10-01
333,333,421078,43054687.5,1980-11-01
332,332,421078,40965625.0,1980-12-01
330,330,421078,37055000.0,1981-01-01
329,329,421078,34855312.5,1981-02-01
328,328,421078,32655625.0,1981-03-01
327,327,421078,30559375.0,1981-04-01
326,326,421078,28463125.0,1981-05-01
327,327,421078,30559375.0,1981-06-01
330,330,421078,37055000.0,1981-07-01
