Value,Value,Gauge_ID,Surface_Area,Timestamp
203,203.0,130314B,4395625.0,1989-09-01
203,203.0,130314B,4395625.0,1989-10-01
203,203.0,130314B,4395625.0,1989-11-01
203,203.0,130314B,4395625.0,1989-12-01
202,202.0,130314B,3889375.0,1990-01-01
202,202.0,130314B,3889375.0,1990-02-01
201,201.0,130314B,3460000.0,1990-03-01
202,202.0,130314B,3889375.0,1990-04-01
203,203.0,130314B,4395625.0,1990-05-01
204,204.0,130314B,4831250.0,1990-06-01
203,203.0,130314B,4395625.0,1990-07-01
203,203.0,130314B,4395625.0,1990-08-01
203,203.0,130314B,4395625.0,1990-09-01
203,203.0,130314B,4395625.0,1990-10-01
203,203.0,130314B,4395625.0,1990-11-01
202,202.0,130314B,3889375.0,1990-12-01
209,209.0,130314B,7513125.0,1991-01-01
210,210.0,130314B,7999375.0,1991-02-01
210,210.0,130314B,7999375.0,1991-03-01
209,209.0,130314B,7513125.0,1991-04-01
209,209.0,130314B,7513125.0,1991-05-01
208,208.0,130314B,7135625.0,1991-06-01
207,207.0,130314B,6401250.0,1991-07-01
207,207.0,130314B,6401250.0,1991-08-01
206,206.0,130314B,5753125.0,1991-09-01
206,206.0,130314B,5753125.0,1991-10-01
205,205.0,130314B,5408125.0,1991-11-01
205,205.0,130314B,5408125.0,1991-12-01
205,205.0,130314B,5408125.0,1992-01-01
204,204.0,130314B,4831250.0,1992-02-01
206,206.0,130314B,5753125.0,1992-03-01
206,206.0,130314B,5753125.0,1992-04-01
206,206.0,130314B,5753125.0,1992-05-01
206,206.0,130314B,5753125.0,1992-06-01
205,205.0,130314B,5408125.0,1992-07-01
204,204.0,130314B,4831250.0,1992-08-01
204,204.0,130314B,4831250.0,1992-09-01
204,204.0,130314B,4831250.0,1992-10-01
204,204.0,130314B,4831250.0,1992-11-01
204,204.0,130314B,4831250.0,1992-12-01
204,204.0,130314B,4831250.0,1993-01-01
203,203.0,130314B,4395625.0,1993-02-01
203,203.0,130314B,4395625.0,1993-03-01
203,203.0,130314B,4395625.0,1993-04-01
202,202.0,130314B,3889375.0,1993-05-01
202,202.0,130314B,3889375.0,1993-06-01
202,202.0,130314B,3889375.0,1993-07-01
202,202.0,130314B,3889375.0,1993-08-01
202,202.0,130314B,3889375.0,1993-09-01
202,202.0,130314B,3889375.0,1993-10-01
202,202.0,130314B,3889375.0,1993-11-01
202,202.0,130314B,3889375.0,1993-12-01
201,201.0,130314B,3460000.0,1994-01-01
201,201.0,130314B,3460000.0,1994-02-01
203,203.0,130314B,4395625.0,1994-03-01
203,203.0,130314B,4395625.0,1994-04-01
203,203.0,130314B,4395625.0,1994-05-01
203,203.0,130314B,4395625.0,1994-06-01
203,203.0,130314B,4395625.0,1994-07-01
203,203.0,130314B,4395625.0,1994-08-01
203,203.0,130314B,4395625.0,1994-09-01
202,202.0,130314B,3889375.0,1994-10-01
202,202.0,130314B,3889375.0,1994-11-01
202,202.0,130314B,3889375.0,1994-12-01
202,202.0,130314B,3889375.0,1995-01-01
202,202.0,130314B,3889375.0,1995-02-01
201,201.0,130314B,3460000.0,1995-03-01
201,201.0,130314B,3460000.0,1995-04-01
201,201.0,130314B,3460000.0,1995-05-01
201,201.0,130314B,3460000.0,1995-06-01
201,201.0,130314B,3460000.0,1995-07-01
200,200.0,130314B,2989375.0,1995-08-01
200,200.0,130314B,2989375.0,1995-09-01
200,200.0,130314B,2989375.0,1995-10-01
200,200.0,130314B,2989375.0,1995-11-01
200,200.0,130314B,2989375.0,1995-12-01
205,205.0,130314B,5408125.0,1996-01-01
206,206.0,130314B,5753125.0,1996-02-01
205,205.0,130314B,5408125.0,1996-03-01
204,204.0,130314B,4831250.0,1996-04-01
204,204.0,130314B,4831250.0,1996-05-01
204,204.0,130314B,4831250.0,1996-06-01
203,203.0,130314B,4395625.0,1996-07-01
203,203.0,130314B,4395625.0,1996-08-01
203,203.0,130314B,4395625.0,1996-09-01
206,206.0,130314B,5753125.0,1996-10-01
205,205.0,130314B,5408125.0,1996-11-01
204,204.0,130314B,4831250.0,1996-12-01
204,204.0,130314B,4831250.0,1997-01-01
203,203.0,130314B,4395625.0,1997-02-01
203,203.0,130314B,4395625.0,1997-03-01
203,203.0,130314B,4395625.0,1997-04-01
203,203.0,130314B,4395625.0,1997-05-01
