Value,Value,Gauge_ID,Surface_Area,Timestamp
287,287,212232.3,6570000.0,2015-05-01
287,287,212232.3,6570000.0,2015-06-01
288,288,212232.3,6980625.0,2015-07-01
288,288,212232.3,6980625.0,2015-08-01
288,288,212232.3,6980625.0,2015-09-01
288,288,212232.3,6980625.0,2015-10-01
288,288,212232.3,6980625.0,2015-11-01
288,288,212232.3,6980625.0,2015-12-01
288,288,212232.3,6980625.0,2016-01-01
288,288,212232.3,6980625.0,2016-02-01
288,288,212232.3,6980625.0,2016-03-01
288,288,212232.3,6980625.0,2016-04-01
287,287,212232.3,6570000.0,2016-05-01
289,289,212232.3,7054375.0,2016-06-01
289,289,212232.3,7054375.0,2016-07-01
289,289,212232.3,7054375.0,2016-08-01
288,288,212232.3,6980625.0,2016-09-01
288,288,212232.3,6980625.0,2016-10-01
288,288,212232.3,6980625.0,2016-11-01
287,287,212232.3,6570000.0,2016-12-01
287,287,212232.3,6570000.0,2017-01-01
287,287,212232.3,6570000.0,2017-02-01
289,289,212232.3,7054375.0,2017-03-01
289,289,212232.3,7054375.0,2017-04-01
289,289,212232.3,7054375.0,2017-05-01
289,289,212232.3,7054375.0,2017-06-01
289,289,212232.3,7054375.0,2017-07-01
288,288,212232.3,6980625.0,2017-08-01
288,288,212232.3,6980625.0,2017-09-01
287,287,212232.3,6570000.0,2017-10-01
287,287,212232.3,6570000.0,2017-11-01
286,286,212232.3,6370000.0,2017-12-01
285,285,212232.3,5911250.0,2018-01-01
284,284,212232.3,5280000.0,2018-02-01
283,283,212232.3,4868125.0,2018-03-01
282,282,212232.3,4783750.0,2018-04-01
282,282,212232.3,4783750.0,2018-05-01
281,281,212232.3,4334375.0,2018-06-01
280,280,212232.3,3885000.0,2018-07-01
280,280,212232.3,3885000.0,2018-08-01
279,279,212232.3,3838125.0,2018-09-01
279,279,212232.3,3838125.0,2018-10-01
278,278,212232.3,3304375.0,2018-11-01
278,278,212232.3,3304375.0,2018-12-01
278,278,212232.3,3304375.0,2019-01-01
277,277,212232.3,2958125.0,2019-02-01
278,278,212232.3,3304375.0,2019-03-01
278,278,212232.3,3304375.0,2019-04-01
278,278,212232.3,3304375.0,2019-05-01
278,278,212232.3,3304375.0,2019-06-01
278,278,212232.3,3304375.0,2019-07-01
278,278,212232.3,3304375.0,2019-08-01
277,277,212232.3,2958125.0,2019-09-01
277,277,212232.3,2958125.0,2019-10-01
277,277,212232.3,2958125.0,2019-11-01
277,277,212232.3,2958125.0,2019-12-01
277,277,212232.3,2958125.0,2020-01-01
283,283,212232.3,4868125.0,2020-02-01
285,285,212232.3,5911250.0,2020-03-01
285,285,212232.3,5911250.0,2020-04-01
286,286,212232.3,6370000.0,2020-05-01
286,286,212232.3,6370000.0,2020-06-01
286,286,212232.3,6370000.0,2020-07-01
288,288,212232.3,6980625.0,2020-08-01
288,288,212232.3,6980625.0,2020-09-01
288,288,212232.3,6980625.0,2020-10-01
288,288,212232.3,6980625.0,2020-11-01
287,287,212232.3,6570000.0,2020-12-01
287,287,212232.3,6570000.0,2021-01-01
287,287,212232.3,6570000.0,2021-02-01
288,288,212232.3,6980625.0,2021-03-01
289,289,212232.3,7054375.0,2021-04-01
