Value,Value,Gauge_ID,Surface_Area,Timestamp
955,955,410742,2500813.578,1969-06-01
955,955,410742,2500813.578,1969-07-01
955,955,410742,2500813.578,1969-08-01
955,955,410742,2500813.578,1969-09-01
955,955,410742,2500813.578,1969-10-01
955,955,410742,2500813.578,1969-11-01
955,955,410742,2500813.578,1969-12-01
955,955,410742,2500813.578,1970-01-01
955,955,410742,2500813.578,1970-02-01
955,955,410742,2500813.578,1970-03-01
955,955,410742,2500813.578,1970-04-01
955,955,410742,2500813.578,1970-05-01
955,955,410742,2500813.578,1970-06-01
955,955,410742,2500813.578,1970-07-01
955,955,410742,2500813.578,1970-08-01
955,955,410742,2500813.578,1970-09-01
955,955,410742,2500813.578,1970-10-01
955,955,410742,2500813.578,1970-11-01
955,955,410742,2500813.578,1970-12-01
955,955,410742,2500813.578,1971-01-01
955,955,410742,2500813.578,1971-02-01
955,955,410742,2500813.578,1971-03-01
955,955,410742,2500813.578,1971-04-01
955,955,410742,2500813.578,1971-05-01
955,955,410742,2500813.578,1971-06-01
955,955,410742,2500813.578,1971-07-01
955,955,410742,2500813.578,1971-08-01
955,955,410742,2500813.578,1971-09-01
955,955,410742,2500813.578,1971-10-01
955,955,410742,2500813.578,1971-11-01
955,955,410742,2500813.578,1971-12-01
955,955,410742,2500813.578,1972-01-01
955,955,410742,2500813.578,1972-02-01
955,955,410742,2500813.578,1972-03-01
955,955,410742,2500813.578,1972-04-01
955,955,410742,2500813.578,1972-05-01
955,955,410742,2500813.578,1972-06-01
955,955,410742,2500813.578,1972-07-01
955,955,410742,2500813.578,1972-08-01
955,955,410742,2500813.578,1972-09-01
955,955,410742,2500813.578,1972-10-01
955,955,410742,2500813.578,1972-11-01
955,955,410742,2500813.578,1972-12-01
952,952,410742,2359375.0,1973-01-01
952,952,410742,2359375.0,1973-02-01
952,952,410742,2359375.0,1973-03-01
953,953,410742,2413125.0,1973-04-01
952,952,410742,2359375.0,1973-05-01
952,952,410742,2359375.0,1973-06-01
954,954,410742,2466875.0,1973-07-01
955,955,410742,2500813.578,1973-08-01
955,955,410742,2500813.578,1973-09-01
955,955,410742,2500813.578,1973-10-01
955,955,410742,2500813.578,1973-11-01
955,955,410742,2500813.578,1973-12-01
955,955,410742,2500813.578,1974-01-01
954,954,410742,2466875.0,1974-02-01
955,955,410742,2500813.578,1974-03-01
955,955,410742,2500813.578,1974-04-01
955,955,410742,2500813.578,1974-05-01
955,955,410742,2500813.578,1974-06-01
955,955,410742,2500813.578,1974-07-01
955,955,410742,2500813.578,1974-08-01
955,955,410742,2500813.578,1974-09-01
955,955,410742,2500813.578,1974-10-01
954,954,410742,2466875.0,1974-11-01
955,955,410742,2500813.578,1974-12-01
954,954,410742,2466875.0,1975-01-01
953,953,410742,2413125.0,1975-02-01
953,953,410742,2413125.0,1975-03-01
953,953,410742,2413125.0,1975-04-01
954,954,410742,2466875.0,1975-05-01
954,954,410742,2466875.0,1975-06-01
955,955,410742,2500813.578,1975-07-01
955,955,410742,2500813.578,1975-08-01
955,955,410742,2500813.578,1975-09-01
955,955,410742,2500813.578,1975-10-01
955,955,410742,2500813.578,1975-11-01
955,955,410742,2500813.578,1975-12-01
955,955,410742,2500813.578,1976-01-01
955,955,410742,2500813.578,1976-02-01
955,955,410742,2500813.578,1976-03-01
955,955,410742,2500813.578,1976-04-01
954,954,410742,2466875.0,1976-05-01
954,954,410742,2466875.0,1976-06-01
954,954,410742,2466875.0,1976-07-01
954,954,410742,2466875.0,1976-08-01
955,955,410742,2500813.578,1976-09-01
955,955,410742,2500813.578,1976-10-01
955,955,410742,2500813.578,1976-11-01
955,955,410742,2500813.578,1976-12-01
953,953,410742,2413125.0,1977-01-01
951,951,410742,2294062.5,1977-02-01
952,952,410742,2359375.0,1977-03-01
954,954,410742,2466875.0,1977-04-01
955,955,410742,2500813.578,1977-05-01
955,955,410742,2500813.578,1977-06-01
955,955,410742,2500813.578,1977-07-01
955,955,410742,2500813.578,1977-08-01
955,955,410742,2500813.578,1977-09-01
955,955,410742,2500813.578,1977-10-01
954,954,410742,2466875.0,1977-11-01
951,951,410742,2294062.5,1977-12-01
949,949,410742,2184687.5,1978-01-01
948,948,410742,2140625.0,1978-02-01
945,945,410742,1982812.5,1978-03-01
948,948,410742,2140625.0,1978-04-01
