Value,Value,Gauge_ID,Surface_Area,Timestamp
411,411,sp-o10298,19200625.0,1978-09-01
418,418,sp-o10298,23415625.0,1978-10-01
423,423,sp-o10298,25258020.83,1978-11-01
426,426,sp-o10298,27205833.33,1978-12-01
428,428,sp-o10298,28504375.0,1979-01-01
428,428,sp-o10298,28504375.0,1979-02-01
429,429,sp-o10298,28927500.0,1979-03-01
429,429,sp-o10298,28927500.0,1979-04-01
429,429,sp-o10298,28927500.0,1979-05-01
430,430,sp-o10298,29350625.0,1979-06-01
431,431,sp-o10298,29736250.0,1979-07-01
432,432,sp-o10298,30121875.0,1979-08-01
435,435,sp-o10298,31278750.0,1979-09-01
440,440,sp-o10298,34645625.0,1979-10-01
443,443,sp-o10298,36271562.5,1979-11-01
444,444,sp-o10298,36448750.0,1979-12-01
444,444,sp-o10298,36448750.0,1980-01-01
444,444,sp-o10298,36448750.0,1980-02-01
444,444,sp-o10298,36448750.0,1980-03-01
444,444,sp-o10298,36448750.0,1980-04-01
444,444,sp-o10298,36448750.0,1980-05-01
444,444,sp-o10298,36448750.0,1980-06-01
445,445,sp-o10298,37006562.5,1980-07-01
446,446,sp-o10298,37564375.0,1980-08-01
449,449,sp-o10298,38782812.5,1980-09-01
452,452,sp-o10298,40295625.0,1980-10-01
454,454,sp-o10298,41131250.0,1980-11-01
454,454,sp-o10298,41131250.0,1980-12-01
451,451,sp-o10298,39811875.0,1981-01-01
445,445,sp-o10298,37006562.5,1981-02-01
442,442,sp-o10298,36094375.0,1981-03-01
442,442,sp-o10298,36094375.0,1981-04-01
442,442,sp-o10298,36094375.0,1981-05-01
443,443,sp-o10298,36271562.5,1981-06-01
448,448,sp-o10298,38237500.0,1981-07-01
456,456,sp-o10298,42086250.0,1981-08-01
462,462,sp-o10298,43752500.0,1981-09-01
466,466,sp-o10298,44346875.0,1981-10-01
467,467,sp-o10298,44487500.0,1981-11-01
468,468,sp-o10298,44628125.0,1981-12-01
468,468,sp-o10298,44628125.0,1982-01-01
469,469,sp-o10298,44665937.5,1982-02-01
469,469,sp-o10298,44665937.5,1982-03-01
469,469,sp-o10298,44665937.5,1982-04-01
469,469,sp-o10298,44665937.5,1982-05-01
470,470,sp-o10298,44703750.0,1982-06-01
470,470,sp-o10298,44703750.0,1982-07-01
469,469,sp-o10298,44665937.5,1982-08-01
465,465,sp-o10298,44324062.5,1982-09-01
459,459,sp-o10298,43098437.5,1982-10-01
453,453,sp-o10298,40713437.5,1982-11-01
445,445,sp-o10298,37006562.5,1982-12-01
435,435,sp-o10298,31278750.0,1983-01-01
424,424,sp-o10298,25907291.67,1983-02-01
409,409,sp-o10298,18031250.0,1983-03-01
400,400,sp-o10298,5219375.0,1983-04-01
