Value,Value,Gauge_ID,Surface_Area,Timestamp
393,393,416315A,5832187.5,1977-03-01
395,395,416315A,6805937.5,1977-04-01
397,397,416315A,7851875.0,1977-05-01
398,398,416315A,8390000.0,1977-06-01
398,398,416315A,8390000.0,1977-07-01
398,398,416315A,8390000.0,1977-08-01
398,398,416315A,8390000.0,1977-09-01
398,398,416315A,8390000.0,1977-10-01
398,398,416315A,8390000.0,1977-11-01
397,397,416315A,7851875.0,1977-12-01
397,397,416315A,7851875.0,1978-01-01
397,397,416315A,7851875.0,1978-02-01
397,397,416315A,7851875.0,1978-03-01
397,397,416315A,7851875.0,1978-04-01
397,397,416315A,7851875.0,1978-05-01
398,398,416315A,8390000.0,1978-06-01
401,401,416315A,9583750.0,1978-07-01
403,403,416315A,10421562.5,1978-08-01
407,407,416315A,11951875.0,1978-09-01
408,408,416315A,12279375.0,1978-10-01
409,409,416315A,12501875.0,1978-11-01
409,409,416315A,12501875.0,1978-12-01
410,410,416315A,12724375.0,1979-01-01
409,409,416315A,12501875.0,1979-02-01
409,409,416315A,12501875.0,1979-03-01
409,409,416315A,12501875.0,1979-04-01
409,409,416315A,12501875.0,1979-05-01
409,409,416315A,12501875.0,1979-06-01
409,409,416315A,12501875.0,1979-07-01
409,409,416315A,12501875.0,1979-08-01
409,409,416315A,12501875.0,1979-09-01
409,409,416315A,12501875.0,1979-10-01
409,409,416315A,12501875.0,1979-11-01
409,409,416315A,12501875.0,1979-12-01
408,408,416315A,12279375.0,1980-01-01
408,408,416315A,12279375.0,1980-02-01
407,407,416315A,11951875.0,1980-03-01
406,406,416315A,11624375.0,1980-04-01
406,406,416315A,11624375.0,1980-05-01
406,406,416315A,11624375.0,1980-06-01
406,406,416315A,11624375.0,1980-07-01
406,406,416315A,11624375.0,1980-08-01
406,406,416315A,11624375.0,1980-09-01
405,405,416315A,11219687.5,1980-10-01
404,404,416315A,10815000.0,1980-11-01
403,403,416315A,10421562.5,1980-12-01
402,402,416315A,10028125.0,1981-01-01
401,401,416315A,9583750.0,1981-02-01
400,400,416315A,9139375.0,1981-03-01
399,399,416315A,8764687.5,1981-04-01
398,398,416315A,8390000.0,1981-05-01
399,399,416315A,8764687.5,1981-06-01
400,400,416315A,9139375.0,1981-07-01
401,401,416315A,9583750.0,1981-08-01
401,401,416315A,9583750.0,1981-09-01
401,401,416315A,9583750.0,1981-10-01
401,401,416315A,9583750.0,1981-11-01
400,400,416315A,9139375.0,1981-12-01
399,399,416315A,8764687.5,1982-01-01
396,396,416315A,7313750.0,1982-02-01
399,399,416315A,8764687.5,1982-03-01
401,401,416315A,9583750.0,1982-04-01
401,401,416315A,9583750.0,1982-05-01
400,400,416315A,9139375.0,1982-06-01
400,400,416315A,9139375.0,1982-07-01
400,400,416315A,9139375.0,1982-08-01
399,399,416315A,8764687.5,1982-09-01
398,398,416315A,8390000.0,1982-10-01
396,396,416315A,7313750.0,1982-11-01
394,394,416315A,6298125.0,1982-12-01
394,394,416315A,6298125.0,1983-01-01
392,392,416315A,5366250.0,1983-02-01
389,389,416315A,4046041.667,1983-03-01
388,388,416315A,3738333.333,1983-04-01
398,398,416315A,8390000.0,1983-05-01
402,402,416315A,10028125.0,1983-06-01
404,404,416315A,10815000.0,1983-07-01
406,406,416315A,11624375.0,1983-08-01
409,409,416315A,12501875.0,1983-09-01
411,411,416315A,12801875.0,1983-10-01
412,412,416315A,12901880.0,1983-11-01
412,412,416315A,12901880.0,1983-12-01
412,412,416315A,12901880.0,1984-01-01
412,412,416315A,12901880.0,1984-02-01
412,412,416315A,12901880.0,1984-03-01
412,412,416315A,12901880.0,1984-04-01
412,412,416315A,12901880.0,1984-05-01
412,412,416315A,12901880.0,1984-06-01
412,412,416315A,12901880.0,1984-07-01
412,412,416315A,12901880.0,1984-08-01
412,412,416315A,12901880.0,1984-09-01
412,412,416315A,12901880.0,1984-10-01
411,411,416315A,12801875.0,1984-11-01
411,411,416315A,12801875.0,1984-12-01
410,410,416315A,12724375.0,1985-01-01
407,407,416315A,11951875.0,1985-02-01
406,406,416315A,11624375.0,1985-03-01
405,405,416315A,11219687.5,1985-04-01
405,405,416315A,11219687.5,1985-05-01
405,405,416315A,11219687.5,1985-06-01
405,405,416315A,11219687.5,1985-07-01
405,405,416315A,11219687.5,1985-08-01
406,406,416315A,11624375.0,1985-09-01
406,406,416315A,11624375.0,1985-10-01
406,406,416315A,11624375.0,1985-11-01
406,406,416315A,11624375.0,1985-12-01
405,405,416315A,11219687.5,1986-01-01
403,403,416315A,10421562.5,1986-02-01
402,402,416315A,10028125.0,1986-03-01
401,401,416315A,9583750.0,1986-04-01
401,401,416315A,9583750.0,1986-05-01
400,400,416315A,9139375.0,1986-06-01
400,400,416315A,9139375.0,1986-07-01
400,400,416315A,9139375.0,1986-08-01
400,400,416315A,9139375.0,1986-09-01
400,400,416315A,9139375.0,1986-10-01
400,400,416315A,9139375.0,1986-11-01
400,400,416315A,9139375.0,1986-12-01
399,399,416315A,8764687.5,1987-01-01
402,402,416315A,10028125.0,1987-02-01
401,401,416315A,9583750.0,1987-03-01
401,401,416315A,9583750.0,1987-04-01
400,400,416315A,9139375.0,1987-05-01
400,400,416315A,9139375.0,1987-06-01
400,400,416315A,9139375.0,1987-07-01
400,400,416315A,9139375.0,1987-08-01
401,401,416315A,9583750.0,1987-09-01
401,401,416315A,9583750.0,1987-10-01
401,401,416315A,9583750.0,1987-11-01
400,400,416315A,9139375.0,1987-12-01
400,400,416315A,9139375.0,1988-01-01
402,402,416315A,10028125.0,1988-02-01
403,403,416315A,10421562.5,1988-03-01
410,410,416315A,12724375.0,1988-04-01
412,412,416315A,12901880.0,1988-05-01
412,412,416315A,12901880.0,1988-06-01
412,412,416315A,12901880.0,1988-07-01
412,412,416315A,12901880.0,1988-08-01
412,412,416315A,12901880.0,1988-09-01
412,412,416315A,12901880.0,1988-10-01
411,411,416315A,12801875.0,1988-11-01
410,410,416315A,12724375.0,1988-12-01
406,406,416315A,11624375.0,1989-01-01
403,403,416315A,10421562.5,1989-02-01
401,401,416315A,9583750.0,1989-03-01
404,404,416315A,10815000.0,1989-04-01
405,405,416315A,11219687.5,1989-05-01
405,405,416315A,11219687.5,1989-06-01
405,405,416315A,11219687.5,1989-07-01
405,405,416315A,11219687.5,1989-08-01
405,405,416315A,11219687.5,1989-09-01
404,404,416315A,10815000.0,1989-10-01
404,404,416315A,10815000.0,1989-11-01
406,406,416315A,11624375.0,1989-12-01
406,406,416315A,11624375.0,1990-01-01
406,406,416315A,11624375.0,1990-02-01
406,406,416315A,11624375.0,1990-03-01
406,406,416315A,11624375.0,1990-04-01
408,408,416315A,12279375.0,1990-05-01
410,410,416315A,12724375.0,1990-06-01
410,410,416315A,12724375.0,1990-07-01
411,411,416315A,12801875.0,1990-08-01
411,411,416315A,12801875.0,1990-09-01
411,411,416315A,12801875.0,1990-10-01
410,410,416315A,12724375.0,1990-11-01
406,406,416315A,11624375.0,1990-12-01
400,400,416315A,9139375.0,1991-01-01
403,403,416315A,10421562.5,1991-02-01
404,404,416315A,10815000.0,1991-03-01
403,403,416315A,10421562.5,1991-04-01
403,403,416315A,10421562.5,1991-05-01
403,403,416315A,10421562.5,1991-06-01
403,403,416315A,10421562.5,1991-07-01
403,403,416315A,10421562.5,1991-08-01
402,402,416315A,10028125.0,1991-09-01
401,401,416315A,9583750.0,1991-10-01
398,398,416315A,8390000.0,1991-11-01
395,395,416315A,6805937.5,1991-12-01
398,398,416315A,8390000.0,1992-01-01
400,400,416315A,9139375.0,1992-02-01
401,401,416315A,9583750.0,1992-03-01
401,401,416315A,9583750.0,1992-04-01
401,401,416315A,9583750.0,1992-05-01
401,401,416315A,9583750.0,1992-06-01
401,401,416315A,9583750.0,1992-07-01
401,401,416315A,9583750.0,1992-08-01
401,401,416315A,9583750.0,1992-09-01
401,401,416315A,9583750.0,1992-10-01
401,401,416315A,9583750.0,1992-11-01
402,402,416315A,10028125.0,1992-12-01
399,399,416315A,8764687.5,1993-01-01
394,394,416315A,6298125.0,1993-02-01
392,392,416315A,5366250.0,1993-03-01
392,392,416315A,5366250.0,1993-04-01
391,391,416315A,4860000.0,1993-05-01
390,390,416315A,4353750.0,1993-06-01
390,390,416315A,4353750.0,1993-07-01
390,390,416315A,4353750.0,1993-08-01
390,390,416315A,4353750.0,1993-09-01
390,390,416315A,4353750.0,1993-10-01
390,390,416315A,4353750.0,1993-11-01
389,389,416315A,4046041.667,1993-12-01
387,387,416315A,3430625.0,1994-01-01
386,386,416315A,3108750.0,1994-02-01
386,386,416315A,3108750.0,1994-03-01
386,386,416315A,3108750.0,1994-04-01
386,386,416315A,3108750.0,1994-05-01
385,385,416315A,2786875.0,1994-06-01
385,385,416315A,2786875.0,1994-07-01
385,385,416315A,2786875.0,1994-08-01
384,384,416315A,2328125.0,1994-09-01
384,384,416315A,2328125.0,1994-10-01
382,382,416315A,1708125.0,1994-11-01
380,380,416315A,1174062.5,1994-12-01
379,379,416315A,801250.0,1995-01-01
383,383,416315A,1869375.0,1995-02-01
389,389,416315A,4046041.667,1995-03-01
389,389,416315A,4046041.667,1995-04-01
389,389,416315A,4046041.667,1995-05-01
389,389,416315A,4046041.667,1995-06-01
389,389,416315A,4046041.667,1995-07-01
389,389,416315A,4046041.667,1995-08-01
389,389,416315A,4046041.667,1995-09-01
389,389,416315A,4046041.667,1995-10-01
389,389,416315A,4046041.667,1995-11-01
391,391,416315A,4860000.0,1995-12-01
402,402,416315A,10028125.0,1996-01-01
408,408,416315A,12279375.0,1996-02-01
408,408,416315A,12279375.0,1996-03-01
408,408,416315A,12279375.0,1996-04-01
411,411,416315A,12801875.0,1996-05-01
411,411,416315A,12801875.0,1996-06-01
411,411,416315A,12801875.0,1996-07-01
411,411,416315A,12801875.0,1996-08-01
412,412,416315A,12901880.0,1996-09-01
412,412,416315A,12901880.0,1996-10-01
412,412,416315A,12901880.0,1996-11-01
