Value,Value,Gauge_ID,Surface_Area,Timestamp
221,221.0,ODSS_56221_WSLAHD.1,7118125.0,2009-12-01
220,220.0,ODSS_56221_WSLAHD.1,6720625.0,2010-01-01
220,220.0,ODSS_56221_WSLAHD.1,6720625.0,2010-02-01
220,220.0,ODSS_56221_WSLAHD.1,6720625.0,2010-03-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2010-04-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2010-05-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2010-06-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2010-07-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2010-08-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2010-09-01
206,206.0,ODSS_56221_WSLAHD.1,1973125.0,2010-10-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2010-11-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2011-02-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2011-03-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2011-04-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2011-05-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2011-06-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2011-07-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2011-08-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2011-09-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2011-10-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2011-11-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2011-12-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2012-01-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2012-02-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2012-03-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2012-04-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2012-05-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2012-06-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2012-07-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2012-08-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2012-09-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2012-10-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2012-11-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2012-12-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2013-01-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2013-02-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2013-03-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2013-04-01
216,216.0,ODSS_56221_WSLAHD.1,4337500.0,2013-05-01
216,216.0,ODSS_56221_WSLAHD.1,4337500.0,2013-06-01
216,216.0,ODSS_56221_WSLAHD.1,4337500.0,2013-07-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2013-08-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2013-09-01
220,220.0,ODSS_56221_WSLAHD.1,6720625.0,2013-10-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2013-11-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2013-12-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2014-01-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2014-02-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2014-03-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2014-04-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2014-05-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2014-06-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2014-07-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2014-08-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2014-09-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2014-10-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2014-11-01
219,219.0,ODSS_56221_WSLAHD.1,6115000.0,2014-12-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2015-01-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2015-02-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2015-03-01
218,218.0,ODSS_56221_WSLAHD.1,5560625.0,2015-04-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2015-05-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2015-06-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2015-07-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2015-08-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2015-09-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2015-10-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2015-11-01
217,217.0,ODSS_56221_WSLAHD.1,5096250.0,2015-12-01
216,216.0,ODSS_56221_WSLAHD.1,4337500.0,2016-01-01
216,216.0,ODSS_56221_WSLAHD.1,4337500.0,2016-02-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-03-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-04-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-05-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-06-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-07-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-08-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-09-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-10-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-11-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2016-12-01
215,215.0,ODSS_56221_WSLAHD.1,3766250.0,2017-01-01
214,214.0,ODSS_56221_WSLAHD.1,3352500.0,2017-02-01
214,214.0,ODSS_56221_WSLAHD.1,3352500.0,2017-03-01
