Value,Value,Gauge_ID,Surface_Area,Timestamp
76,76,146033A,7232812.5,1996-01-01
77,77,146033A,7548125.0,1996-02-01
77,77,146033A,7548125.0,1996-03-01
77,77,146033A,7548125.0,1996-04-01
82,82,146033A,8809375.0,1996-05-01
82,82,146033A,8809375.0,1996-06-01
81,81,146033A,8647500.0,1996-07-01
81,81,146033A,8647500.0,1996-08-01
80,80,146033A,8485625.0,1996-09-01
80,80,146033A,8485625.0,1996-10-01
79,79,146033A,8114375.0,1996-11-01
79,79,146033A,8114375.0,1996-12-01
79,79,146033A,8114375.0,1997-01-01
80,80,146033A,8485625.0,1997-02-01
80,80,146033A,8485625.0,1997-03-01
79,79,146033A,8114375.0,1997-04-01
80,80,146033A,8485625.0,1997-05-01
80,80,146033A,8485625.0,1997-06-01
79,79,146033A,8114375.0,1997-07-01
79,79,146033A,8114375.0,1997-08-01
78,78,146033A,7831250.0,1997-09-01
78,78,146033A,7831250.0,1997-10-01
78,78,146033A,7831250.0,1997-11-01
78,78,146033A,7831250.0,1997-12-01
77,77,146033A,7548125.0,1998-01-01
77,77,146033A,7548125.0,1998-02-01
77,77,146033A,7548125.0,1998-03-01
77,77,146033A,7548125.0,1998-04-01
76,76,146033A,7232812.5,1998-05-01
76,76,146033A,7232812.5,1998-06-01
75,75,146033A,6917500.0,1998-07-01
75,75,146033A,6917500.0,1998-08-01
75,75,146033A,6917500.0,1998-09-01
76,76,146033A,7232812.5,1998-10-01
75,75,146033A,6917500.0,1998-11-01
75,75,146033A,6917500.0,1998-12-01
76,76,146033A,7232812.5,1999-01-01
79,79,146033A,8114375.0,1999-02-01
82,82,146033A,8809375.0,1999-03-01
82,82,146033A,8809375.0,1999-04-01
82,82,146033A,8809375.0,1999-05-01
82,82,146033A,8809375.0,1999-06-01
82,82,146033A,8809375.0,1999-07-01
82,82,146033A,8809375.0,1999-08-01
82,82,146033A,8809375.0,1999-09-01
82,82,146033A,8809375.0,1999-10-01
82,82,146033A,8809375.0,1999-11-01
81,81,146033A,8647500.0,1999-12-01
81,81,146033A,8647500.0,2000-01-01
81,81,146033A,8647500.0,2000-02-01
82,82,146033A,8809375.0,2000-03-01
81,81,146033A,8647500.0,2000-04-01
82,82,146033A,8809375.0,2000-05-01
82,82,146033A,8809375.0,2000-06-01
81,81,146033A,8647500.0,2000-07-01
81,81,146033A,8647500.0,2000-08-01
80,80,146033A,8485625.0,2000-09-01
79,79,146033A,8114375.0,2000-10-01
79,79,146033A,8114375.0,2000-11-01
79,79,146033A,8114375.0,2000-12-01
78,78,146033A,7831250.0,2001-01-01
82,82,146033A,8809375.0,2001-02-01
82,82,146033A,8809375.0,2001-03-01
82,82,146033A,8809375.0,2001-04-01
81,81,146033A,8647500.0,2001-05-01
81,81,146033A,8647500.0,2001-06-01
80,80,146033A,8485625.0,2001-07-01
80,80,146033A,8485625.0,2001-08-01
79,79,146033A,8114375.0,2001-09-01
78,78,146033A,7831250.0,2001-10-01
78,78,146033A,7831250.0,2001-11-01
77,77,146033A,7548125.0,2001-12-01
76,76,146033A,7232812.5,2002-01-01
75,75,146033A,6917500.0,2002-02-01
74,74,146033A,6617500.0,2002-03-01
73,73,146033A,6317500.0,2002-04-01
73,73,146033A,6317500.0,2002-05-01
72,72,146033A,5901562.5,2002-06-01
71,71,146033A,5485625.0,2002-07-01
70,70,146033A,5294375.0,2002-08-01
70,70,146033A,5294375.0,2002-09-01
69,69,146033A,5103125.0,2002-10-01
68,68,146033A,4737500.0,2002-11-01
67,67,146033A,4371875.0,2002-12-01
66,66,146033A,4271875.0,2003-01-01
66,66,146033A,4271875.0,2003-02-01
69,69,146033A,5103125.0,2003-03-01
70,70,146033A,5294375.0,2003-04-01
71,71,146033A,5485625.0,2003-05-01
72,72,146033A,5901562.5,2003-06-01
72,72,146033A,5901562.5,2003-07-01
72,72,146033A,5901562.5,2003-08-01
71,71,146033A,5485625.0,2003-09-01
70,70,146033A,5294375.0,2003-10-01
70,70,146033A,5294375.0,2003-11-01
70,70,146033A,5294375.0,2003-12-01
70,70,146033A,5294375.0,2004-01-01
71,71,146033A,5485625.0,2004-02-01
78,78,146033A,7831250.0,2004-03-01
78,78,146033A,7831250.0,2004-04-01
78,78,146033A,7831250.0,2004-05-01
77,77,146033A,7548125.0,2004-06-01
77,77,146033A,7548125.0,2004-07-01
76,76,146033A,7232812.5,2004-08-01
75,75,146033A,6917500.0,2004-09-01
75,75,146033A,6917500.0,2004-10-01
76,76,146033A,7232812.5,2004-11-01
78,78,146033A,7831250.0,2004-12-01
79,79,146033A,8114375.0,2005-01-01
79,79,146033A,8114375.0,2005-02-01
78,78,146033A,7831250.0,2005-03-01
77,77,146033A,7548125.0,2005-04-01
77,77,146033A,7548125.0,2005-05-01
76,76,146033A,7232812.5,2005-06-01
79,79,146033A,8114375.0,2005-07-01
79,79,146033A,8114375.0,2005-08-01
78,78,146033A,7831250.0,2005-09-01
78,78,146033A,7831250.0,2005-10-01
77,77,146033A,7548125.0,2005-11-01
78,78,146033A,7831250.0,2005-12-01
78,78,146033A,7831250.0,2006-01-01
79,79,146033A,8114375.0,2006-02-01
81,81,146033A,8647500.0,2006-03-01
82,82,146033A,8809375.0,2006-04-01
81,81,146033A,8647500.0,2006-05-01
81,81,146033A,8647500.0,2006-06-01
80,80,146033A,8485625.0,2006-07-01
80,80,146033A,8485625.0,2006-08-01
80,80,146033A,8485625.0,2006-09-01
79,79,146033A,8114375.0,2006-10-01
79,79,146033A,8114375.0,2006-11-01
79,79,146033A,8114375.0,2006-12-01
78,78,146033A,7831250.0,2007-01-01
77,77,146033A,7548125.0,2007-02-01
77,77,146033A,7548125.0,2007-03-01
77,77,146033A,7548125.0,2007-04-01
76,76,146033A,7232812.5,2007-05-01
75,75,146033A,6917500.0,2007-06-01
75,75,146033A,6917500.0,2007-07-01
74,74,146033A,6617500.0,2007-08-01
74,74,146033A,6617500.0,2007-09-01
74,74,146033A,6617500.0,2007-10-01
74,74,146033A,6617500.0,2007-11-01
74,74,146033A,6617500.0,2007-12-01
81,81,146033A,8647500.0,2008-01-01
82,82,146033A,8809375.0,2008-02-01
82,82,146033A,8809375.0,2008-03-01
82,82,146033A,8809375.0,2008-04-01
81,81,146033A,8647500.0,2008-05-01
82,82,146033A,8809375.0,2008-06-01
82,82,146033A,8809375.0,2008-07-01
81,81,146033A,8647500.0,2008-08-01
81,81,146033A,8647500.0,2008-09-01
81,81,146033A,8647500.0,2008-10-01
81,81,146033A,8647500.0,2008-11-01
81,81,146033A,8647500.0,2008-12-01
82,82,146033A,8809375.0,2009-01-01
82,82,146033A,8809375.0,2009-02-01
82,82,146033A,8809375.0,2009-03-01
82,82,146033A,8809375.0,2009-04-01
82,82,146033A,8809375.0,2009-05-01
82,82,146033A,8809375.0,2009-06-01
82,82,146033A,8809375.0,2009-07-01
81,81,146033A,8647500.0,2009-08-01
81,81,146033A,8647500.0,2009-09-01
80,80,146033A,8485625.0,2009-10-01
80,80,146033A,8485625.0,2009-11-01
79,79,146033A,8114375.0,2009-12-01
79,79,146033A,8114375.0,2010-01-01
81,81,146033A,8647500.0,2010-02-01
82,82,146033A,8809375.0,2010-03-01
81,81,146033A,8647500.0,2010-04-01
82,82,146033A,8809375.0,2010-05-01
81,81,146033A,8647500.0,2010-06-01
81,81,146033A,8647500.0,2010-07-01
81,81,146033A,8647500.0,2010-08-01
80,80,146033A,8485625.0,2010-09-01
81,81,146033A,8647500.0,2010-10-01
82,82,146033A,8809375.0,2010-11-01
82,82,146033A,8809375.0,2010-12-01
82,82,146033A,8809375.0,2011-01-01
82,82,146033A,8809375.0,2011-02-01
82,82,146033A,8809375.0,2011-03-01
83,83,146033A,9016875.0,2011-04-01
83,83,146033A,9016875.0,2011-05-01
83,83,146033A,9016875.0,2011-06-01
83,83,146033A,9016875.0,2011-07-01
82,82,146033A,8809375.0,2011-08-01
82,82,146033A,8809375.0,2011-09-01
82,82,146033A,8809375.0,2011-10-01
81,81,146033A,8647500.0,2011-11-01
81,81,146033A,8647500.0,2011-12-01
82,82,146033A,8809375.0,2012-01-01
90,90,146033A,11026250.0,2012-02-01
92,92,146033A,12022187.5,2012-03-01
92,92,146033A,12022187.5,2012-04-01
93,93,146033A,12253750.0,2012-05-01
93,93,146033A,12253750.0,2012-06-01
93,93,146033A,12253750.0,2012-07-01
93,93,146033A,12253750.0,2012-08-01
92,92,146033A,12022187.5,2012-09-01
92,92,146033A,12022187.5,2012-10-01
91,91,146033A,11790625.0,2012-11-01
91,91,146033A,11790625.0,2012-12-01
92,92,146033A,12022187.5,2013-01-01
95,95,146033A,12993125.0,2013-02-01
95,95,146033A,12993125.0,2013-03-01
94,94,146033A,12623437.5,2013-04-01
94,94,146033A,12623437.5,2013-05-01
94,94,146033A,12623437.5,2013-06-01
94,94,146033A,12623437.5,2013-07-01
94,94,146033A,12623437.5,2013-08-01
94,94,146033A,12623437.5,2013-09-01
93,93,146033A,12253750.0,2013-10-01
93,93,146033A,12253750.0,2013-11-01
93,93,146033A,12253750.0,2013-12-01
92,92,146033A,12022187.5,2014-01-01
92,92,146033A,12022187.5,2014-02-01
92,92,146033A,12022187.5,2014-03-01
93,93,146033A,12253750.0,2014-04-01
93,93,146033A,12253750.0,2014-05-01
92,92,146033A,12022187.5,2014-06-01
92,92,146033A,12022187.5,2014-07-01
92,92,146033A,12022187.5,2014-08-01
91,91,146033A,11790625.0,2014-09-01
91,91,146033A,11790625.0,2014-10-01
91,91,146033A,11790625.0,2014-11-01
90,90,146033A,11026250.0,2014-12-01
91,91,146033A,11790625.0,2015-01-01
92,92,146033A,12022187.5,2015-02-01
93,93,146033A,12253750.0,2015-03-01
94,94,146033A,12623437.5,2015-04-01
94,94,146033A,12623437.5,2015-05-01
94,94,146033A,12623437.5,2015-06-01
94,94,146033A,12623437.5,2015-07-01
94,94,146033A,12623437.5,2015-08-01
93,93,146033A,12253750.0,2015-09-01
93,93,146033A,12253750.0,2015-10-01
93,93,146033A,12253750.0,2015-11-01
93,93,146033A,12253750.0,2015-12-01
93,93,146033A,12253750.0,2016-01-01
93,93,146033A,12253750.0,2016-02-01
93,93,146033A,12253750.0,2016-03-01
93,93,146033A,12253750.0,2016-04-01
93,93,146033A,12253750.0,2016-05-01
94,94,146033A,12623437.5,2016-06-01
94,94,146033A,12623437.5,2016-07-01
94,94,146033A,12623437.5,2016-08-01
94,94,146033A,12623437.5,2016-09-01
94,94,146033A,12623437.5,2016-10-01
93,93,146033A,12253750.0,2016-11-01
93,93,146033A,12253750.0,2016-12-01
93,93,146033A,12253750.0,2017-01-01
93,93,146033A,12253750.0,2017-02-01
93,93,146033A,12253750.0,2017-03-01
95,95,146033A,12993125.0,2017-04-01
94,94,146033A,12623437.5,2017-05-01
94,94,146033A,12623437.5,2017-06-01
94,94,146033A,12623437.5,2017-07-01
94,94,146033A,12623437.5,2017-08-01
93,93,146033A,12253750.0,2017-09-01
93,93,146033A,12253750.0,2017-10-01
94,94,146033A,12623437.5,2017-11-01
94,94,146033A,12623437.5,2017-12-01
94,94,146033A,12623437.5,2018-01-01
94,94,146033A,12623437.5,2018-02-01
94,94,146033A,12623437.5,2018-03-01
94,94,146033A,12623437.5,2018-04-01
94,94,146033A,12623437.5,2018-05-01
94,94,146033A,12623437.5,2018-06-01
93,93,146033A,12253750.0,2018-07-01
93,93,146033A,12253750.0,2018-08-01
92,92,146033A,12022187.5,2018-09-01
93,93,146033A,12253750.0,2018-10-01
93,93,146033A,12253750.0,2018-11-01
93,93,146033A,12253750.0,2018-12-01
93,93,146033A,12253750.0,2019-01-01
93,93,146033A,12253750.0,2019-02-01
93,93,146033A,12253750.0,2019-03-01
93,93,146033A,12253750.0,2019-04-01
93,93,146033A,12253750.0,2019-05-01
93,93,146033A,12253750.0,2019-06-01
93,93,146033A,12253750.0,2019-07-01
92,92,146033A,12022187.5,2019-08-01
92,92,146033A,12022187.5,2019-09-01
92,92,146033A,12022187.5,2019-10-01
91,91,146033A,11790625.0,2019-11-01
91,91,146033A,11790625.0,2019-12-01
91,91,146033A,11790625.0,2020-01-01
93,93,146033A,12253750.0,2020-02-01
94,94,146033A,12623437.5,2020-03-01
94,94,146033A,12623437.5,2020-04-01
93,93,146033A,12253750.0,2020-05-01
93,93,146033A,12253750.0,2020-06-01
93,93,146033A,12253750.0,2020-07-01
92,92,146033A,12022187.5,2020-08-01
92,92,146033A,12022187.5,2020-09-01
91,91,146033A,11790625.0,2020-10-01
91,91,146033A,11790625.0,2020-11-01
93,93,146033A,12253750.0,2020-12-01
94,94,146033A,12623437.5,2021-01-01
94,94,146033A,12623437.5,2021-02-01
95,95,146033A,12993125.0,2021-03-01
95,95,146033A,12993125.0,2021-04-01
