Value,Value,Gauge_ID,Surface_Area,Timestamp
388,388,410573,2623750.0,1999-02-01
384,384,410573,2191250.0,1999-03-01
383,383,410573,2008125.0,1999-04-01
384,384,410573,2191250.0,1999-05-01
383,383,410573,2008125.0,1999-06-01
384,384,410573,2191250.0,1999-07-01
384,384,410573,2191250.0,1999-08-01
384,384,410573,2191250.0,1999-09-01
386,386,410573,2483750.0,1999-10-01
385,385,410573,2366875.0,1999-11-01
385,385,410573,2366875.0,1999-12-01
384,384,410573,2191250.0,2000-01-01
384,384,410573,2191250.0,2000-02-01
383,383,410573,2008125.0,2000-03-01
384,384,410573,2191250.0,2000-04-01
384,384,410573,2191250.0,2000-05-01
384,384,410573,2191250.0,2000-06-01
385,385,410573,2366875.0,2000-07-01
388,388,410573,2623750.0,2000-08-01
387,387,410573,2582500.0,2000-09-01
389,389,410573,2632500.0,2000-10-01
389,389,410573,2632500.0,2000-11-01
389,389,410573,2632500.0,2000-12-01
387,387,410573,2582500.0,2001-01-01
388,388,410573,2623750.0,2001-02-01
389,389,410573,2632500.0,2001-03-01
388,388,410573,2623750.0,2001-04-01
384,384,410573,2191250.0,2001-05-01
384,384,410573,2191250.0,2001-06-01
385,385,410573,2366875.0,2001-07-01
385,385,410573,2366875.0,2001-08-01
386,386,410573,2483750.0,2001-09-01
389,389,410573,2632500.0,2001-10-01
387,387,410573,2582500.0,2001-11-01
384,384,410573,2191250.0,2001-12-01
384,384,410573,2191250.0,2002-01-01
384,384,410573,2191250.0,2002-02-01
384,384,410573,2191250.0,2002-03-01
385,385,410573,2366875.0,2002-04-01
384,384,410573,2191250.0,2002-05-01
385,385,410573,2366875.0,2002-06-01
384,384,410573,2191250.0,2002-07-01
384,384,410573,2191250.0,2002-08-01
385,385,410573,2366875.0,2002-09-01
386,386,410573,2483750.0,2002-10-01
383,383,410573,2008125.0,2002-11-01
384,384,410573,2191250.0,2002-12-01
384,384,410573,2191250.0,2003-01-01
384,384,410573,2191250.0,2003-02-01
383,383,410573,2008125.0,2003-03-01
384,384,410573,2191250.0,2003-04-01
383,383,410573,2008125.0,2003-05-01
383,383,410573,2008125.0,2003-06-01
384,384,410573,2191250.0,2003-07-01
384,384,410573,2191250.0,2003-08-01
384,384,410573,2191250.0,2003-09-01
387,387,410573,2582500.0,2003-10-01
384,384,410573,2191250.0,2003-11-01
386,386,410573,2483750.0,2003-12-01
386,386,410573,2483750.0,2004-01-01
386,386,410573,2483750.0,2004-02-01
385,385,410573,2366875.0,2004-03-01
386,386,410573,2483750.0,2004-04-01
386,386,410573,2483750.0,2004-05-01
385,385,410573,2366875.0,2004-06-01
386,386,410573,2483750.0,2004-07-01
