ID,Depth,Surface Area
136115A,305,665625.0
136115A,306,737812.5
136115A,307,810000.0
136115A,308,997187.5
136115A,309,1184375.0
136115A,310,1309062.5
136115A,311,1433750.0
136115A,312,1642812.5
136115A,313,1851875.0
136115A,314,2040000.0
136115A,315,2228125.0
136115A,316,2545625.0
136115A,317,2863125.0
136115A,318,3088125.0
136115A,319,3322291.6666666665
136115A,320,3556458.3333333335
136115A,321,3790625.0
136115A,322,3990312.5
136115A,323,4190000.0
136115A,324,4411250.0
136115A,325,4632500.0
136115A,326,4787812.5
136115A,327,4943125.0
136115A,328,5052500.0
136115A,329,5092500.0
136115A,330,5132500.0
136115A,331,5172500.0
