NAME,SHAPE_Leng,SHAPE_Area,Area_calc,lat,lon
WILSON RESERVOIR,0.034914910544,2.757237275e-05,270561.736,-37.51001775248238,144.01854920219148
SUGARLOAF RESERVOIR,0.212902971555,0.00043759909475,4284887.27,-37.672015168559675,145.30546667448777
GREEN LAKE,0.155044997386,0.00071469351,7111145.66,-36.435338183618754,144.83418677261471
LAKE TAYLOR,0.244253141042,0.0004899685715,4853573.62,-36.783436899772425,142.38361438566585
UPPER STONY CREEK RESERVOIR,0.0597624275559,5.1191851875e-05,500287.353,-37.81835304591356,144.20363450185346
LAKE EILDON,5.12426268915,0.0135475811701,133545843.0,-37.16223066332908,145.9658190871287
LAKE MENINDEE,0.525286930212,0.0150080498569,156676810.0,-32.342073559486025,142.328468564745
LAKE BATYO CATYO,0.0717029533348,0.000193487022875,1923223.68,-36.51557078378622,142.9391396389067
WARANGA BASIN,0.621329211533,0.00567073368062,56337552.7,-36.55521837642095,145.09679129423787
LAKE NILLAHCOOTIE,0.279357607044,0.000521263463,5156878.86,-36.88446999335252,146.0025060721685
CAIRN CURRAN RESERVOIR,0.691859134741,0.00178172096913,17589754.0,-37.046679301215434,143.99271662187354
LAKE CARGELLIGO,0.568859802226,0.00170729659062,17638352.3,-33.28709301053777,146.40937667020575
MCCAY RESERVOIR,0.0285328391056,1.894317975e-05,186904.825,-37.0915514186922,144.30048895256786
LAKE BUFFALO,0.212492758863,0.000304097225625,3014382.14,-36.730874253646256,146.6594563705928
LAKE FYANS,0.0976730829607,0.000440130844125,4339988.57,-37.13779766259387,142.6228729354119
MAROONDAH RESERVOIR,0.111136782027,0.000196303325,1923128.02,-37.63415248421112,145.56416204585742
UPPER YARRA RESERVOIR,0.502968500934,0.0007468490825,7311507.79,-37.68742713934322,145.92625931141038
LAKE ALEXANDRINA,2.79480730652,0.0618541462481,623034682.0,-35.449258144617666,139.14902371941932
LAKE ALBERT,1.22584934904,0.0185489006911,186449002.0,-35.61879404135788,139.283803834557
