ID,Depth,Surface Area,Number of images
130338A,160.0,109375.0,
130338A,161.0,135000.0,
130338A,162.0,160625.0,
130338A,163.0,186250.0,23.0
130338A,163.0,186250.0,
130338A,164.0,211875.0,58.0
130338A,165.0,387500.0,126.0
130338A,166.0,738750.0,40.0
130338A,167.0,902500.0,52.0
130338A,168.0,1033750.0,84.0
130338A,169.0,1213750.0,138.0
130338A,170.0,1273750.0,633.0
130338A,171.0,1311250.0,42.0
130338A,172.0,1341250.0,
130338A,172.0,1341250.0,4.0
130338A,173.0,1371250.0,
130338A,174.0,1401250.0,
130338A,175.0,1431250.0,
