ID,Depth,Surface Area,Number of images
222539,1170.0,1250.0,
222539,1171.0,22500.0,1.0
222539,1171.0,22500.0,
222539,1172.0,43750.0,26.0
222539,1173.0,58750.0,305.0
222539,1174.0,82500.0,122.0
222539,1175.0,86875.0,
222539,1176.0,91250.0,110.0
222539,1177.0,91875.0,103.0
222539,1178.0,103750.0,131.0
222539,1179.0,115000.0,88.0
222539,1180.0,130000.0,80.0
222539,1181.0,134375.0,86.0
222539,1182.0,136875.0,65.0
222539,1183.0,140000.0,11.0
222539,1184.0,154375.0,3.0
222539,1184.0,154375.0,
222539,1185.0,168750.0,
222539,1186.0,183125.0,
222539,1187.0,197500.0,
