ID,Depth,Surface Area,Number of images
422315B,451.0,840000.0,
422315B,452.0,1026875.0,
422315B,453.0,1213750.0,
422315B,454.0,1400625.0,
422315B,455.0,1587500.0,
422315B,456.0,1774375.0,
422315B,456.0,1774375.0,7.0
422315B,457.0,1961250.0,45.0
422315B,458.0,2398750.0,67.0
422315B,459.0,2810625.0,134.0
422315B,460.0,3146875.0,106.0
422315B,461.0,3734375.0,44.0
422315B,462.0,4353750.0,29.0
422315B,463.0,5126875.0,41.0
422315B,464.0,5570000.0,21.0
422315B,465.0,6486250.0,43.0
422315B,466.0,7074375.0,6.0
422315B,467.0,7431250.0,7.0
422315B,468.0,8808125.0,11.0
422315B,469.0,9816875.0,22.0
422315B,470.0,10485625.0,33.0
422315B,471.0,11650625.0,9.0
422315B,472.0,12244375.0,
422315B,472.0,12244375.0,34.0
422315B,473.0,12838125.0,
422315B,474.0,13431875.0,
422315B,475.0,14025625.0,
422315B,476.0,14619375.0,
