ID,Depth,Surface Area,Number of images
BARKERSCREEK,356.0,20625.0,
BARKERSCREEK,357.0,63750.0,22.0
BARKERSCREEK,357.0,63750.0,
BARKERSCREEK,358.0,106875.0,15.0
BARKERSCREEK,359.0,118125.0,7.0
BARKERSCREEK,360.0,158750.0,33.0
BARKERSCREEK,361.0,205000.0,78.0
BARKERSCREEK,362.0,264375.0,116.0
BARKERSCREEK,363.0,326875.0,128.0
BARKERSCREEK,364.0,379375.0,99.0
BARKERSCREEK,365.0,431250.0,7.0
BARKERSCREEK,365.0,431250.0,
BARKERSCREEK,366.0,483125.0,
BARKERSCREEK,367.0,535000.0,
BARKERSCREEK,368.0,586875.0,
