ID,Depth,Surface Area,Number of images
DAM_MARDI.1,24.0,115000.0,
DAM_MARDI.1,25.0,153125.0,
DAM_MARDI.1,26.0,191250.0,
DAM_MARDI.1,27.0,229375.0,
DAM_MARDI.1,28.0,267500.0,
DAM_MARDI.1,29.0,305625.0,
DAM_MARDI.1,29.0,305625.0,3.0
DAM_MARDI.1,30.0,343750.0,4.0
DAM_MARDI.1,31.0,357500.0,17.0
DAM_MARDI.1,32.0,390625.0,36.0
DAM_MARDI.1,33.0,411250.0,57.0
DAM_MARDI.1,34.0,434375.0,55.0
DAM_MARDI.1,35.0,470625.0,64.0
DAM_MARDI.1,36.0,491250.0,47.0
DAM_MARDI.1,37.0,508125.0,53.0
DAM_MARDI.1,38.0,538125.0,63.0
DAM_MARDI.1,39.0,551250.0,75.0
DAM_MARDI.1,40.0,578125.0,
DAM_MARDI.1,40.0,578125.0,106.0
DAM_MARDI.1,41.0,605000.0,
DAM_MARDI.1,42.0,631875.0,
DAM_MARDI.1,43.0,658750.0,
DAM_MARDI.1,44.0,685625.0,
DAM_MARDI.1,45.0,712500.0,
