ID,Depth,Surface Area,Number of images
LAKE_BELLFIELD,248.0,889375.0,
LAKE_BELLFIELD,249.0,980000.0,
LAKE_BELLFIELD,250.0,1070625.0,
LAKE_BELLFIELD,251.0,1161250.0,
LAKE_BELLFIELD,252.0,1251875.0,44.0
LAKE_BELLFIELD,252.0,1251875.0,
LAKE_BELLFIELD,253.0,1342500.0,16.0
LAKE_BELLFIELD,254.0,1491875.0,33.0
LAKE_BELLFIELD,255.0,1586875.0,25.0
LAKE_BELLFIELD,256.0,1687500.0,17.0
LAKE_BELLFIELD,257.0,1830000.0,10.0
LAKE_BELLFIELD,258.0,1969375.0,18.0
LAKE_BELLFIELD,259.0,2055000.0,8.0
LAKE_BELLFIELD,260.0,2303750.0,13.0
LAKE_BELLFIELD,261.0,2428750.0,22.0
LAKE_BELLFIELD,262.0,2530625.0,5.0
LAKE_BELLFIELD,263.0,2700625.0,
LAKE_BELLFIELD,264.0,2870625.0,9.0
LAKE_BELLFIELD,265.0,3049375.0,4.0
LAKE_BELLFIELD,266.0,3050000.0,3.0
LAKE_BELLFIELD,267.0,3241250.0,9.0
LAKE_BELLFIELD,268.0,3353125.0,11.0
LAKE_BELLFIELD,269.0,3518750.0,10.0
LAKE_BELLFIELD,270.0,3681875.0,40.0
LAKE_BELLFIELD,271.0,3833125.0,20.0
LAKE_BELLFIELD,272.0,3981875.0,37.0
LAKE_BELLFIELD,273.0,4113750.0,40.0
LAKE_BELLFIELD,274.0,4210000.0,78.0
LAKE_BELLFIELD,275.0,4306250.0,28.0
LAKE_BELLFIELD,275.0,4306250.0,
LAKE_BELLFIELD,276.0,4402500.0,
LAKE_BELLFIELD,277.0,4498750.0,
LAKE_BELLFIELD,278.0,4595000.0,
LAKE_BELLFIELD,279.0,4691250.0,
LAKE_BELLFIELD,280.0,4787500.0,
