ID,Depth,Surface Area,Number of images
ODSS_21167_WSLAHD.1,178.0,120937.5,
ODSS_21167_WSLAHD.1,179.0,134375.0,
ODSS_21167_WSLAHD.1,180.0,147812.5,
ODSS_21167_WSLAHD.1,181.0,161250.0,
ODSS_21167_WSLAHD.1,182.0,174687.5,
ODSS_21167_WSLAHD.1,183.0,188125.0,
ODSS_21167_WSLAHD.1,183.0,188125.0,7.0
ODSS_21167_WSLAHD.1,184.0,201562.5,
ODSS_21167_WSLAHD.1,185.0,215000.0,7.0
ODSS_21167_WSLAHD.1,186.0,236875.0,18.0
ODSS_21167_WSLAHD.1,187.0,241250.0,36.0
ODSS_21167_WSLAHD.1,188.0,263750.0,55.0
ODSS_21167_WSLAHD.1,189.0,285625.0,61.0
ODSS_21167_WSLAHD.1,190.0,303125.0,80.0
ODSS_21167_WSLAHD.1,191.0,321250.0,76.0
ODSS_21167_WSLAHD.1,192.0,343750.0,99.0
ODSS_21167_WSLAHD.1,193.0,368125.0,115.0
ODSS_21167_WSLAHD.1,194.0,395000.0,65.0
ODSS_21167_WSLAHD.1,195.0,429375.0,29.0
ODSS_21167_WSLAHD.1,196.0,460000.0,25.0
ODSS_21167_WSLAHD.1,197.0,497500.0,18.0
ODSS_21167_WSLAHD.1,198.0,514375.0,
ODSS_21167_WSLAHD.1,198.0,514375.0,27.0
ODSS_21167_WSLAHD.1,199.0,531250.0,
ODSS_21167_WSLAHD.1,200.0,548125.0,
ODSS_21167_WSLAHD.1,201.0,565000.0,
ODSS_21167_WSLAHD.1,202.0,581875.0,
ODSS_21167_WSLAHD.1,203.0,598750.0,
