ID,Depth,Surface Area,Number of images
RE750,172.0,76875.0,
RE750,173.0,144375.0,
RE750,174.0,211875.0,
RE750,175.0,279375.0,4.0
RE750,175.0,279375.0,
RE750,176.0,346875.0,5.0
RE750,177.0,367343.75,
RE750,178.0,387812.5,
RE750,179.0,408281.25,
RE750,180.0,428750.0,2.0
RE750,181.0,476562.5,
RE750,182.0,524375.0,
RE750,183.0,572187.5,
RE750,184.0,620000.0,2.0
RE750,185.0,623958.3333333334,
RE750,186.0,627916.6666666666,
RE750,187.0,631875.0,
RE750,188.0,635833.3333333334,
RE750,189.0,639791.6666666666,
RE750,190.0,643750.0,
RE750,190.0,643750.0,2.0
RE750,191.0,647708.3333333334,
RE750,192.0,651666.6666666667,
RE750,193.0,655625.0000000001,
RE750,194.0,659583.3333333335,
RE750,195.0,663541.6666666669,
