ID,Depth,Surface Area,Number of images
ROCKLANDS,181.0,1612500.0,
ROCKLANDS,182.0,3356875.0,81.0
ROCKLANDS,182.0,3356875.0,
ROCKLANDS,183.0,5101250.0,112.0
ROCKLANDS,184.0,6921875.0,122.0
ROCKLANDS,185.0,8850625.0,43.0
ROCKLANDS,186.0,11643125.0,38.0
ROCKLANDS,187.0,14728750.0,71.0
ROCKLANDS,188.0,18063750.0,84.0
ROCKLANDS,189.0,24380625.0,99.0
ROCKLANDS,190.0,29769375.0,126.0
ROCKLANDS,191.0,33043750.0,150.0
ROCKLANDS,192.0,37628750.0,
ROCKLANDS,192.0,37628750.0,12.0
ROCKLANDS,193.0,42213750.0,
ROCKLANDS,194.0,46798750.0,
ROCKLANDS,195.0,51383750.0,
ROCKLANDS,196.0,55968750.0,
ROCKLANDS,197.0,60553750.0,
