ID,Depth,Surface Area,Number of images
SANDHURST,322.0,18750.0,
SANDHURST,323.0,39375.0,
SANDHURST,324.0,60000.0,
SANDHURST,325.0,80625.0,
SANDHURST,326.0,101250.0,4.0
SANDHURST,326.0,101250.0,
SANDHURST,327.0,121875.0,7.0
SANDHURST,328.0,135000.0,
SANDHURST,329.0,148125.0,11.0
SANDHURST,330.0,170000.0,14.0
SANDHURST,331.0,188125.0,26.0
SANDHURST,332.0,209375.0,40.0
SANDHURST,333.0,236250.0,99.0
SANDHURST,334.0,245000.0,157.0
SANDHURST,335.0,248750.0,147.0
SANDHURST,335.0,248750.0,
SANDHURST,336.0,252500.0,
SANDHURST,337.0,256250.0,
SANDHURST,338.0,260000.0,
SANDHURST,339.0,263750.0,
SANDHURST,340.0,267500.0,
