ID,Depth,Surface Area,Number of images
TAYLORS,134.0,1290000.0,
TAYLORS,135.0,1635000.0,
TAYLORS,136.0,1980000.0,
TAYLORS,137.0,2325000.0,35.0
TAYLORS,137.0,2325000.0,
TAYLORS,138.0,2670000.0,74.0
TAYLORS,139.0,3025625.0,105.0
TAYLORS,140.0,3221250.0,139.0
TAYLORS,141.0,3442500.0,208.0
TAYLORS,142.0,3718750.0,199.0
TAYLORS,143.0,4110000.0,148.0
TAYLORS,144.0,4676875.0,134.0
TAYLORS,145.0,5228750.0,
TAYLORS,145.0,5228750.0,13.0
TAYLORS,146.0,5780625.0,
TAYLORS,147.0,6332500.0,
TAYLORS,148.0,6884375.0,
