ID,Depth,Surface Area,Number of images
sp-o10350,158.0,-386875.0,
sp-o10350,159.0,-232500.0,
sp-o10350,160.0,-78125.0,
sp-o10350,161.0,76250.0,
sp-o10350,162.0,230625.0,
sp-o10350,163.0,385000.0,
sp-o10350,164.0,539375.0,
sp-o10350,165.0,693750.0,11.0
sp-o10350,165.0,693750.0,
sp-o10350,166.0,848125.0,
sp-o10350,167.0,1002500.0,8.0
sp-o10350,168.0,1191875.0,
sp-o10350,169.0,1381250.0,10.0
sp-o10350,170.0,1863750.0,
sp-o10350,171.0,2346250.0,47.0
sp-o10350,172.0,2684062.5,
sp-o10350,173.0,3021875.0,80.0
sp-o10350,174.0,3436875.0,
sp-o10350,175.0,3851875.0,48.0
sp-o10350,176.0,4345312.5,
sp-o10350,177.0,4838750.0,19.0
sp-o10350,178.0,6180937.5,
sp-o10350,179.0,7523125.0,12.0
sp-o10350,180.0,8485625.0,
sp-o10350,181.0,9448125.0,29.0
sp-o10350,182.0,10661250.0,
sp-o10350,183.0,11874375.0,26.0
sp-o10350,184.0,13669687.5,
sp-o10350,185.0,15465000.0,29.0
sp-o10350,186.0,17181562.5,
sp-o10350,187.0,18898125.0,44.0
sp-o10350,188.0,20858750.0,
sp-o10350,189.0,22819375.0,40.0
sp-o10350,190.0,25325937.5,
sp-o10350,191.0,27832500.0,99.0
sp-o10350,192.0,28835937.5,
sp-o10350,193.0,29839375.0,
sp-o10350,193.0,29839375.0,66.0
sp-o10350,194.0,30842812.5,
sp-o10350,195.0,31846250.0,
sp-o10350,196.0,32849687.5,
sp-o10350,197.0,33853125.0,
sp-o10350,198.0,34856562.5,
