,ID,Depth,Surface Area,number of images
0,ODSS_18335_WSLAHD.1,220,223750,27
1,ODSS_18335_WSLAHD.1,219,213750,89
2,ODSS_18335_WSLAHD.1,218,206875,113
3,ODSS_18335_WSLAHD.1,217,188125,123
4,ODSS_18335_WSLAHD.1,216,166875,83
5,ODSS_18335_WSLAHD.1,215,142500,32
6,ODSS_18335_WSLAHD.1,214,113750,30
7,ODSS_18335_WSLAHD.1,213,0,5
8,ODSS_18335_WSLAHD.1,221,0,0
0,604.1,121,5269375,247
1,604.1,120,5278750,134
2,604.1,119,5266875,39
3,604.1,118,4868125,8
4,604.1,117,0,3
5,604.1,122,5263750,60
6,604.1,123,1250,4
7,604.1,116,0,0
8,604.1,124,0,0
0,136115A,312,1434375,53
1,136115A,313,1655000,6
2,136115A,314,1758750,7
3,136115A,311,1280625,3
4,136115A,310,1263125,5
5,136115A,309,986875,1
6,136115A,308,825000,31
7,136115A,307,775000,70
8,136115A,306,690000,13
9,136115A,305,587500,7
10,136115A,319,3156250,12
11,136115A,320,3288750,25
12,136115A,321,3340625,11
13,136115A,318,2848750,16
14,136115A,317,2624375,7
15,136115A,316,2271875,12
16,136115A,315,2155000,28
17,136115A,322,0,0
18,136115A,324,0,0
19,136115A,327,5243750,16
20,136115A,329,5798125,67
21,136115A,331,6218750,32
22,136115A,330,6156250,132
23,136115A,333,0,0
24,136115A,332,0,0
25,136115A,328,5463125,20
26,136115A,326,0,0
27,136115A,325,0,0
28,136115A,323,0,0
0,BARKERSCREEK,364,379375,99
1,BARKERSCREEK,363,326875,128
2,BARKERSCREEK,365,431250,7
3,BARKERSCREEK,366,0,0
4,BARKERSCREEK,362,264375,116
5,BARKERSCREEK,361,205000,78
6,BARKERSCREEK,360,158750,33
7,BARKERSCREEK,359,118125,7
8,BARKERSCREEK,358,106875,15
9,BARKERSCREEK,357,63750,22
10,BARKERSCREEK,356,0,9
0,sp-o10350,185,13782500,15
1,sp-o10350,184,12660625,11
2,sp-o10350,183,11180000,15
3,sp-o10350,182,9663125,17
4,sp-o10350,186,16040000,14
5,sp-o10350,187,17880000,23
6,sp-o10350,188,19245625,21
7,sp-o10350,189,22152500,28
8,sp-o10350,190,23260000,12
9,sp-o10350,191,25992500,42
10,sp-o10350,192,28068750,57
11,sp-o10350,193,29710000,56
12,sp-o10350,181,8503125,12
13,sp-o10350,180,7461875,7
14,sp-o10350,179,6725000,5
15,sp-o10350,178,5155625,5
16,sp-o10350,177,4728125,14
17,sp-o10350,176,4119375,20
18,sp-o10350,175,3401875,28
19,sp-o10350,174,3106875,55
20,sp-o10350,173,2809375,25
21,sp-o10350,172,2381250,22
22,sp-o10350,171,1980625,25
23,sp-o10350,170,1587500,4
24,sp-o10350,169,1194375,6
25,sp-o10350,168,1041250,4
26,sp-o10350,167,758750,4
27,sp-o10350,166,516875,2
28,sp-o10350,165,567500,9
29,sp-o10350,194,29942500,10
30,sp-o10350,195,0,0
0,222537,1573,41875,134
1,222537,1574,46875,167
2,222537,1575,57500,150
3,222537,1571,26875,94
4,222537,1572,35000,107
5,222537,1570,20000,45
6,222537,1576,60625,123
7,222537,1577,66875,107
8,222537,1578,72500,124
9,222537,1579,86875,72
10,222537,1582,162500,27
11,222537,1580,76250,38
12,222537,1581,83750,18
13,222537,1569,6875,12
14,222537,1567,0,0
15,222537,1568,3125,1
16,222537,1583,0,0
0,229406A,181,4800625,139
1,229406A,182,4944375,464
2,229406A,180,4551875,168
3,229406A,179,4282500,79
4,229406A,178,3965000,58
