staion_nam,gauge_ID,lat,lon,NEAR_FID,NEAR_DIST
"10 Mile Brook Dam Water Level Daily Value, South W",PI_357693.1,-33.963617,115.1248985,-1,-1
284,D24,-32.74362461,151.9612514,-1,-1
2km N Warringee Pt,A4261155,-35.67660246,139.2502685,18,0
3km W Pt McLeay,A4261156,-35.51481282,139.0647519,17,0
40A,D21,-32.79766496,151.743779,-1,-1
4km W Pomanda Point,A4261158,-35.42976112,139.2686892,17,0
7km SE Milang,A4261157,-35.43726909,139.0398203,17,0
AMPHITHEATRE RES. HG,408216A,-37.17323546,143.3774979,-1,-1
ARTHURS LAKE - AT PUMP STATION,418.1,-41.98830556,146.8624722,612,0
AUGUSTA LAKE - AT INTAKE,155.1,-41.84444444,146.5722222,616,0
"Abbotsfield Res, SCADA Probes",GLR1.GLR1TK01,-42.79,147.22,-1,-1
Addlington Ck at Ewen Maddock Dam HW,141012A,-26.779,153.009,-1,-1
Albert R at Nindooinbah Dam HW,145108A,-27.996,153.031,-1,-1
Allen Reservoir,RE931,-38.53766741,143.9448758,-1,-1
Analysers,GOS.GOSTE11,-42.86691421,147.244582,-1,-1
Apollobay basin,SB898,-38.76519,143.65217,-1,-1
Argyle Vill Top Dam Wsl,ODSS_18337_WSLAHD.1,-16.1135755,128.732855,-1,-1
Armadeus,6100236,-33.83152086,115.0750066,-1,-1
Aroona Creek/Dam,A5100500,-30.5849,138.3585,-1,-1
Atkinson,143234A,-27.4286405,152.446012,318,0
Avon,212211.1,-34.419586,150.675933,189,0
Avon,212211.3,-34.419586,150.675933,189,0
Avon Dam,212211,-34.35093233,150.6405005,189,0
BALRANALD LAGOON,41010307,-34.6586,143.4959,-1,-1
BARRINGTON LAKE - AT DAM,604.1,-41.35722222,146.2644722,614,0.000931739
BEACONSFIELD MR WH90,228268A,-38.02938666,145.4085073,-1,-1
BEREMBED STORAGE,41010904,-34.8775,146.8376,170,0.000874518
BERRY JERRY LAGOON,41010293,-35.0164,147.0654,-1,-1
BITTERN RES WH100,228265A,-38.3048,145.117,403,0.004459952
BLOWERING DAM,410102,-35.4012,148.2429,205,0
BOGGABILLA W.STORAGE,416065,-28.5895,150.3622,-1,-1
BOOLOOROO W. STORAGE,418051,-29.4145,149.8859,-1,-1
BREWSTER STORAGE,412108,-33.4231,145.9419,36,0.000604396
BROGO DAM,219027,-36.4911,149.742,204,0.000192811
BRONTE LAGOON - AT DAM,167.1,-42.18647222,146.4787222,-1,-1
BULLARTO RES. H.G.,407327A,-37.378142,144.239983,-1,-1
BUNDIDGERRY STORAGE,410190,-34.767,146.634,-1,-1
BURBURY LAKE - AT CROTTY DAM,298.1,-42.16,145.617,523,0
BURRENDONG DAM,421078,-32.6673,149.1115,165,0
BURRINJUCK DAM,410131,-35,148.5989,190,7.43062E-05
Balonne_R  Beardmore,422212B,-27.86999964,148.6394402,367,0
Barkers Creek Storage,BARKERSCREEK,-36.966404,144.277525,58,0
Baroon Pocket,138121A,-26.710085,152.872818,467,0
Barossa Diversion Weir (SA Water),SAWBAWR.1,-34.68712108,138.8533304,329,0.00186331
Barossa Reservoir (SA Water),SAWBARS.1,-34.65163501,138.8503435,288,0
Barrage,128,-23.36073701,150.4988748,-1,-1
Beacon 97 (Raukkan),A4261133,-35.4863,139.1381,17,0
Bedford Weir HW,130104A,-23.3739,148.84075,509,0.000994216
Belconnen Pond 3,410652,-35.18852778,149.0143611,-1,-1
Bellarine Basin,SB511,-38.2199,144.5499,-1,-1
Ben Anderson Barrage,136020A,-24.93,152.25525,664,0.000533092
Ben Dor Weir,416406A,-28.560929,150.867563,-1,-1
Bendora Res. at Dam,410717,-35.44672222,148.8284167,179,0
Bill Gunn Dam L Dyer,143228A,-27.63166667,152.3794444,278,0.000399736
Bingegang Weir H/W,130106A,-23.07616667,149.0330833,601,0.000440964
Bjelke-Petersen Dam,136210A,-26.304324,151.978619,225,0
Bob Pazotas Dam,607040,-34.28433895,116.1546305,-1,-1
Boondooma Dam,136316A,-26.09559,151.433853,224,0
Bostock Enviromental,RE670,-37.608,144.1848,20,0.000212041
Bowen R Weir HW,120299A,-20.74125,147.949,541,0.01117367
Bridgedams,6091772,-34.00770901,115.1873361,-1,-1
Brilka Creek,A4260602,-34.05394306,141.2571463,43,0.016671288
Brooklands,6100237,-33.79391076,115.0248722,-1,-1
Buangor Storage,BUANGOR_STORAGE,-37.321271,143.204945,-1,-1
Bucca Weir,135008A,-24.8594,152.0716,661,0.000571705
Buckinbah Weir,4222008A,-28.073286,148.754591,239,0
Burdekin Falls Dam,120016A,-20.646852,147.13696,493,0
Burnett_R Bingera,136005A,-24.93789164,152.191847,664,0.000160586
CARCOAR DAM,412106,-33.6179,149.1776,356,0.000521806
CARDINIA RES HG,228263A,-37.9711,145.388,22,0.009453351
CARGELLIGO STORAGE,412107,-33.3,146.380067,11,0
CASCADE CREEK @ No 1,212281,-33.68888912,150.3036115,196,8.57133E-05
CASCADE CREEK @ No 2,212282,-33.68388894,150.305834,177,0
CASCADE CREEK @ No 3,212283,-33.69138931,150.3002784,208,0.000155862
CATAGUNYA LAKE - AT DAM,592.1,-42.44777778,146.5938889,-1,-1
CENTENARY RES HG,407335A,-37.074531,143.734516,-1,-1
CETHANA LAKE - AT DAM,625.1,-41.48225,146.1346944,578,6.45379E-05
CHAFFEY DAM,419069,-31.348147,151.13947,376,0.000538301
CLUNY LAGOON - AT DAM,573.1,-42.50658333,146.6809722,-1,-1
COCHRANE DAM STORAGE,219033,-36.5703,149.4554,84,5.49063E-05
COLDENE LAGOON,41010290,-35.0718,147.7613,-1,-1
COPETON DAM,418035,-29.9049,150.9234,282,0.000627713
CRESWICK C COSGROVE,407324A,-37.44476765,143.9362454,-1,-1
Cairn Curran Reservoir,sp-o10138,-36.98903,143.96842,10,0.000172477
Callide Dam,130314C,-24.366719,150.615713,452,0
Callide Dam (Intake),130314B,-24.366451,150.617484,452,0
Cania Dam,136115A,-24.64975,150.98333,463,0.000331979
"Canning Dam Daily Dam Water Level, Perth Region",PI_230028.1,-32.176582,116.138765,437,0
Canning Dam Storage Volume,ODSS_11933_STAMN.1,-32.176582,116.138765,437,0
Canning WSL - Logger Data,ODSS_45529_WSLAHD.1,-32.176582,116.138765,437,0
Canning Wsl-Ranger,ODSS_21166_WSLAHD.1,-32.176582,116.138765,437,0
Cataract,212232.1,-34.296234,150.820079,201,0
Cataract,212232.3,-34.296234,150.820079,201,0
Cedar Pocket,138012A,-26.215746,152.7920445,427,0
Chichester Dam,M309,-32.2379,151.6897,87,0
Chichester Dam,D3,-32.2379,151.6897,87,0
Chinchilla HW Intake,422358A,-26.789053,150.626286,378,0.017491099
Chinchilla Weir,422358B,-26.799304,150.578926,378,0.000559786
"Chruchmans Brook Dam Daily Dam Water Level, Perth",PI_230044.1,-32.152885,116.081425,442,0
Churchman Bk Wsl-Logger,ODSS_53443_WSLAHD.1,-32.152885,116.081425,442,0
Churchman Bk Wsl-Ranger,ODSS_21165_WSLAHD.1,-32.152885,116.081425,442,0
Churchmans Brook Dam Storage Volume,ODSS_11709_STAMN.1,-32.152885,116.081425,442,0
Clare Weir,120012A,-19.86014,147.2332,-1,-1
Clarendon,143235A,-27.5021585,152.3494275,299,0
Clarendon Weir (SA Water),SAWCLRNDWR.1,-35.11144204,138.6350027,-1,-1
Claude Wharton HW,136003C,-25.61474,151.595,666,0.000336875
Colac Basin No.4,SB855,-38.3928,143.5935,-1,-1
Colac No.5,SB855B,-38.394978,143.594356,-1,-1
Condamine_R Cecil Wr,422316A,-27.5336733,151.2032948,-1,-1
Condamine_R Loudouns,422333A,-27.22510556,151.1857306,-1,-1
Cooby Dam,69,-27.36415365,151.9682063,267,0.010897417
Coolmunda Dam,416409A,-28.437064,151.217928,392,0
Cooloolabin,141011A,-26.5496865,152.877455,466,0
Cordeaux,212220.3,-34.3711965,150.765815,148,0
Cordeaux,212220.1,-34.3711965,150.765815,148,0
Cordeaux Dam,212220,-34.33640266,150.7459185,148,0
Corin Res. at Dam,410742,-35.53644444,148.8374444,178,0
Cotter Res. at Dam,410704,-35.31925,148.9386667,203,0
Cressbrook Dam,70,-27.26140092,152.1993363,286,0
DADENONG MR WR4,228269A,-37.947418,145.201713,-1,-1
DAM-MANGRV.Dam_WaterStorage_ML_BOM2012,DAM_MANGRV.1,-33.2177,151.1251,132,0.003095202
DAM-MARDI.Dam_WaterStorage_ML_BOM2012,DAM_MARDI.1,-33.29697623,151.396566,131,6.9295E-05
DAM-MOONEY.Dam_WaterStorage_ML_BOM2012,DAM_MOONEY.1,-33.37641667,151.2490556,621,0
DARTMOUTH DAM,401224A,-36.5585,147.5262,34,0
DEE LAGOON - AT TUNNEL INLET,179.1,-42.24777778,146.5658333,-1,-1
DEVILBEND RESERVOIR,228264A,-38.2885,145.1059,403,0
DUMARSQ CK @ DAM,206044,-30.43039688,151.5978328,-1,-1
Dartmouth,sp-o10298,-36.624355,147.6152085,34,0
Darwin R Dam I/Flow,G8150011,-12.83031358,130.9728375,-1,-1
