gauge_ID,NAME,staion_nam
TAYLORS,LAKE TAYLOR,Taylors Lake
RE604,UPPER STONY CREEK RESERVOIR,Upper Stony
sp-o10334,LAKE EILDON,EILDON
425022,LAKE MENINDEE,LAKE MENINDEE
sp-o11534,WARANGA BASIN,WARANGA BASIN
sp-o10930,LAKE NILLAHCOOTIE,Lake Nillahcootie
MCCAY,MCCAY RESERVOIR,McCay Storage
sp-o10109,LAKE BUFFALO,Lake Buffalo
229130A,MAROONDAH RESERVOIR,WATTS RIV-MAROONDAH
229102A,UPPER YARRA RESERVOIR,YARRA RIV-UY RES HG
233232A,WHITE SWAN RESERVOIR,White Swan
RE670,BOSTOCK RESERVOIR,Bostock Enviromental
MALMSBURY,MALMSBURY RESERVOIR,Malmsbury Reservoir
233272A,GONG GONG RESERVOIR,FELLMONGERS C AT RES
sp-o10606,LAANECOORIE RESERVOIR,Laanecoorie Reservoir
sp-o10438,GOULBURN WEIR,Goulburn Weir
sp-o10350,LAKE EPPALOCK,Lake Eppalock
229111A,OSHANNASSY RESERVOIR,OSHANNASSY RES HG
sp-o10298,LAKE DARTMOUTH,Dartmouth
229405A,SILVAN RESERVOIR,SILVAN RESERVOIR
RE604,UPPER STONY CREEK RESERVOIR,Upper Stony
232217A,MOORABOOL RESERVOIR,MOORABOOL WB RES HG
sp-o11454,TULLAROOP RESERVOIR,Tullaroop Reservoir
401027,LAKE HUME,HUME DAM STORAGE
229407A,GREENVALE RESERVOIR,GREENVALE RESERVOIR
sp-o11590,LAKE WILLIAM HOVELL,Lake William Hovell
SANDHURST,SANDHURST RESERVOIR,Sandhurst Storage
229406A,YAN YEAN RESERVOIR,YAN YEAN RES HG
419041,LAKE KEEPIT,KEEPIT DAM
228224A,TARAGO RESERVOIR,TARAGO R-TARAGO RES
sp-o10926,NEWLYN RESERVOIR,Newlyn Reservoir
RE690,KORWEINGUBOORA RESERVOIR,Korweinguboora Reser
LAURISTON,LAURISTON RESERVOIR,Lauriston Reservoir
UPPERCOLIBAN,LAURISTON RESERVOIR,Upper Coliban Reservoir
UPPERCOLIBAN,UPPER COLIBAN RESERVOIR,Upper Coliban Reservoir
BARKERSCREEK,BARKERS CREEK RESERVOIR,Barkers Creek Storage
225256A,THOMSON DAM,THOMSON RESERVOIR
LAKE_BELLFIELD,LAKE BELLFIELD,Lake Bellfield
222539,ISLAND BEND PONDAGE,Island Bend Pondage
ROCKLANDS,ROCKLANDS RESERVOIR,Rocklands Reservoir
222540,LAKE JINDABYNE,Lake Jindabyne RL
401570,GEEHI RESERVOIR,Geehi at Geehi Res
M309,LAKE CHICHESTER,Chichester Dam
401565,TOOMA RESERVOIR,Tooma at Tooma Res
M316,GRAHAMSTOWN LAKE,Grahamstown Dam
401571,MURRAY 2 PONDAGE,Murray 2 Dam
401569,KHANCOBAN PONDAGE,Swampy-Khancbn Pond
222537,GUTHEGA PONDAGE,Guthega Pondage RL
DAM_MARDI.1,MARDI DAM,DAM-MARDI.Dam_WaterStorage_ML_BOM2012
WARTOOK,WARTOOK RESERVOIR,Wartook Reservoir
410784,LAKE TUGGERANONG,Lake Tuggeranong Dam
210117,LAKE ST CLAIR,GLENNIES CREEK DAM
410765,LAKE GINNINDERRA,L Ginninderra at Dam
